serialno,brokersymbol,exchangesymbol,displayname,type,exchange,primaryexchange,currency,expiry,option,right,minsize,barstarttime,streaming,strikedistance,strategy
395,TORNTPOWE,TORNTPOWER,TORNTPOWER,STK,NSE,,INR,,,,1,,10,5.0,NONE
396,COLPAL,COLPAL,COLPAL,STK,NSE,,INR,,,,1,,10,20.0,NONE
397,CORPBANK,CORPBANK,CORPBANK,STK,NSE,,INR,,,,1,,10,0,NONE
398,DLF,DLF,DLF,STK,NSE,,INR,,,,1,,10,10.0,NONE
399,EICHERMOT,EICHERMOT,EICHERMOT,STK,NSE,,INR,,,,1,,10,50.0,NONE
400,MTNL,MTNL,MTNL,STK,NSE,,INR,,,,1,,10,0,NONE
401,DENABANK,DENABANK,DENABANK,STK,NSE,,INR,,,,1,,10,0,NONE
402,GRUH,GRUH,GRUH,STK,NSE,,INR,,,,1,,10,0,NONE
403,ILFSTRANS,IL&FSTRANS,IL&FSTRANS,STK,NSE,,INR,,,,1,,10,0,NONE
404,GDL,GDL,GDL,STK,NSE,,INR,,,,1,,10,0,NONE
405,GMDCLTD,GMDCLTD,GMDCLTD,STK,NSE,,INR,,,,1,,10,0,NONE
406,SHREECEM,SHREECEM,SHREECEM,STK,NSE,,INR,,,,1,,10,50.0,NONE
407,DMART,DMART,DMART,STK,NSE,,INR,,,,1,,10,0,NONE
408,SKFINDIA,SKFINDIA,SKFINDIA,STK,NSE,,INR,,,,1,,10,0,NONE
409,BIOCON,BIOCON,BIOCON,STK,NSE,,INR,,,,1,,10,10.0,NONE
410,BASF,BASF,BASF,STK,NSE,,INR,,,,1,,10,0,NONE
411,HATHWAY,HATHWAY,HATHWAY,STK,NSE,,INR,,,,1,,10,0,NONE
412,HFCL,HFCL,HFCL,STK,NSE,,INR,,,,1,,10,0,NONE
413,TTKPRESTI,TTKPRESTIG,TTKPRESTIG,STK,NSE,,INR,,,,1,,10,0,NONE
414,AKZOINDIA,AKZOINDIA,AKZOINDIA,STK,NSE,,INR,,,,1,,10,0,NONE
415,RADICO,RADICO,RADICO,STK,NSE,,INR,,,,1,,10,0,NONE
416,TATAPOWER,TATAPOWER,TATAPOWER,STK,NSE,,INR,,,,1,,10,2.5,NONE
417,UNIONBANK,UNIONBANK,UNIONBANK,STK,NSE,,INR,,,,1,,10,10.0,NONE
418,ZEEL,ZEEL,ZEEL,STK,NSE,,INR,,,,1,,10,10.0,NONE
419,JSL,JSL,JSL,STK,NSE,,INR,,,,1,,10,0,NONE
420,GREAVESCO,GREAVESCOT,GREAVESCOT,STK,NSE,,INR,,,,1,,10,0,NONE
421,SANOFI,SANOFI,SANOFI,STK,NSE,,INR,,,,1,,10,0,NONE
422,UFLEX,UFLEX,UFLEX,STK,NSE,,INR,,,,1,,10,0,NONE
423,ABAN,ABAN,ABAN,STK,NSE,,INR,,,,1,,10,0,NONE
424,RBLBANK,RBLBANK,RBLBANK,STK,NSE,,INR,,,,1,,10,10.0,NONE
425,LTI,LTI,LTI,STK,NSE,,INR,,,,1,,10,0,NONE
426,GODFRYPHL,GODFRYPHLP,GODFRYPHLP,STK,NSE,,INR,,,,1,,10,20.0,NONE
427,JINDALSAW,JINDALSAW,JINDALSAW,STK,NSE,,INR,,,,1,,10,0,NONE
428,PRISMCEM,PRISMCEM,PRISMCEM,STK,NSE,,INR,,,,1,,10,0,NONE
429,SUPPETRO,SUPPETRO,SUPPETRO,STK,NSE,,INR,,,,1,,10,0,NONE
430,APLLTD,APLLTD,APLLTD,STK,NSE,,INR,,,,1,,10,0,NONE
431,RUPA,RUPA,RUPA,STK,NSE,,INR,,,,1,,10,0,NONE
432,VOLTAS,VOLTAS,VOLTAS,STK,NSE,,INR,,,,1,,10,10.0,NONE
433,DBL,DBL,DBL,STK,NSE,,INR,,,,1,,10,0,NONE
434,GLAXO,GLAXO,GLAXO,STK,NSE,,INR,,,,1,,10,0,NONE
435,CRISIL,CRISIL,CRISIL,STK,NSE,,INR,,,,1,,10,0,NONE
436,OFSS,OFSS,OFSS,STK,NSE,,INR,,,,1,,10,50.0,NONE
437,NILKAMAL,NILKAMAL,NILKAMAL,STK,NSE,,INR,,,,1,,10,0,NONE
438,JKBANK,J&KBANK,J&KBANK,STK,NSE,,INR,,,,1,,10,0,NONE
439,RAYMOND,RAYMOND,RAYMOND,STK,NSE,,INR,,,,1,,10,20.0,NONE
440,IGARASHI,IGARASHI,IGARASHI,STK,NSE,,INR,,,,1,,10,0,NONE
441,DHFL,DHFL,DHFL,STK,NSE,,INR,,,,1,,10,20.0,NONE
442,ADANITRAN,ADANITRANS,ADANITRANS,STK,NSE,,INR,,,,1,,10,0,NONE
443,TVSMOTOR,TVSMOTOR,TVSMOTOR,STK,NSE,,INR,,,,1,,10,20.0,NONE
444,GNFC,GNFC,GNFC,STK,NSE,,INR,,,,1,,10,0,NONE
445,DHANUKA,DHANUKA,DHANUKA,STK,NSE,,INR,,,,1,,10,0,NONE
446,WABAG,WABAG,WABAG,STK,NSE,,INR,,,,1,,10,0,NONE
447,GEPIL,GEPIL,GEPIL,STK,NSE,,INR,,,,1,,10,0,NONE
448,SOMANYCER,SOMANYCERA,SOMANYCERA,STK,NSE,,INR,,,,1,,10,0,NONE
449,TATACOFFE,TATACOFFEE,TATACOFFEE,STK,NSE,,INR,,,,1,,10,0,NONE
450,ADVENZYME,ADVENZYMES,ADVENZYMES,STK,NSE,,INR,,,,1,,10,0,NONE
451,INFY,INFY,INFY,STK,NSE,,INR,,,,1,,10,20.0,NONE
452,FINCABLES,FINCABLES,FINCABLES,STK,NSE,,INR,,,,1,,10,0,NONE
453,GUJFLUORO,GUJFLUORO,GUJFLUORO,STK,NSE,,INR,,,,1,,10,0,NONE
454,SUVEN,SUVEN,SUVEN,STK,NSE,,INR,,,,1,,10,0,NONE
455,NAUKRI,NAUKRI,NAUKRI,STK,NSE,,INR,,,,1,,10,0,NONE
456,TEXRAIL,TEXRAIL,TEXRAIL,STK,NSE,,INR,,,,1,,10,0,NONE
457,DIVISLAB,DIVISLAB,DIVISLAB,STK,NSE,,INR,,,,1,,10,20.0,NONE
458,RENUKA,RENUKA,RENUKA,STK,NSE,,INR,,,,1,,10,0,NONE
459,TVSSRICHA,TVSSRICHAK,TVSSRICHAK,STK,NSE,,INR,,,,1,,10,0,NONE
460,NHPC,NHPC,NHPC,STK,NSE,,INR,,,,1,,10,2.5,NONE
461,JAGRAN,JAGRAN,JAGRAN,STK,NSE,,INR,,,,1,,10,0,NONE
462,PGHH,PGHH,PGHH,STK,NSE,,INR,,,,1,,10,0,NONE
463,ESSELPACK,ESSELPACK,ESSELPACK,STK,NSE,,INR,,,,1,,10,0,NONE
464,IGL,IGL,IGL,STK,NSE,,INR,,,,1,,10,10.0,NONE
465,SHOPERSTO,SHOPERSTOP,SHOPERSTOP,STK,NSE,,INR,,,,1,,10,0,NONE
466,CIPLA,CIPLA,CIPLA,STK,NSE,,INR,,,,1,,10,10.0,NONE
467,CHENNPETR,CHENNPETRO,CHENNPETRO,STK,NSE,,INR,,,,1,,10,10.0,NONE
468,KPRMILL,KPRMILL,KPRMILL,STK,NSE,,INR,,,,1,,10,0,NONE
469,ADANIPORT,ADANIPORTS,ADANIPORTS,STK,NSE,,INR,,,,1,,10,10.0,NONE
470,SFL,SFL,SFL,STK,NSE,,INR,,,,1,,10,0,NONE
471,SHRIRAMCI,SHRIRAMCIT,SHRIRAMCIT,STK,NSE,,INR,,,,1,,10,0,NONE
472,CANBK,CANBK,CANBK,STK,NSE,,INR,,,,1,,10,20.0,NONE
473,GAIL,GAIL,GAIL,STK,NSE,,INR,,,,1,,10,10.0,NONE
474,SADBHAV,SADBHAV,SADBHAV,STK,NSE,,INR,,,,1,,10,0,NONE
475,CEATLTD,CEATLTD,CEATLTD,STK,NSE,,INR,,,,1,,10,50.0,NONE
476,JUBILANT,JUBILANT,JUBILANT,STK,NSE,,INR,,,,1,,10,0,NONE
477,RPOWER,RPOWER,RPOWER,STK,NSE,,INR,,,,1,,10,2.5,NONE
478,ASHOKA,ASHOKA,ASHOKA,STK,NSE,,INR,,,,1,,10,0,NONE
479,SAIL,SAIL,SAIL,STK,NSE,,INR,,,,1,,10,2.5,NONE
480,GSFC,GSFC,GSFC,STK,NSE,,INR,,,,1,,10,5.0,NONE
481,DABUR,DABUR,DABUR,STK,NSE,,INR,,,,1,,10,5.0,NONE
482,BGRENERGY,BGRENERGY,BGRENERGY,STK,NSE,,INR,,,,1,,10,0,NONE
483,STRTECH,STRTECH,STRTECH,STK,NSE,,INR,,,,1,,10,0,NONE
484,JYOTHYLAB,JYOTHYLAB,JYOTHYLAB,STK,NSE,,INR,,,,1,,10,0,NONE
485,BHEL,BHEL,BHEL,STK,NSE,,INR,,,,1,,10,2.5,NONE
486,NBVENTURE,NBVENTURES,NBVENTURES,STK,NSE,,INR,,,,1,,10,0,NONE
487,PEL,PEL,PEL,STK,NSE,,INR,,,,1,,10,50.0,NONE
488,GULFOILLU,GULFOILLUB,GULFOILLUB,STK,NSE,,INR,,,,1,,10,0,NONE
489,HDFC,HDFC,HDFC,STK,NSE,,INR,,,,1,,10,20.0,NONE
490,NIITTECH,NIITTECH,NIITTECH,STK,NSE,,INR,,,,1,,10,10.0,NONE
