serialno,symbol,servicename,type,exchange,primaryexchange,currency,expiry,option,right,contractID,additionalInput,longvolume,shortvolume,aggression,minsize,barsstarttime,trailstop,preopen,streamingpriority,strategy
52,ALKYLAMIN,ALKYLAMIN,STK,NSE,,INR,,,,,2000,100000,-500000,0,-85500,,0.05,N,100,ADR
53,ALBK,ALBK,STK,NSE,,INR,,,,,2000,100000,-500000,0,-87250,,0.05,N,100,ADR
54,ALLCARGO,ALLCARGO,STK,NSE,,INR,,,,,2000,100000,-500000,0,-89000,,0.05,N,100,ADR
55,ADSL,ADSL,STK,NSE,,INR,,,,,2000,100000,-500000,0,-90750,,0.05,N,100,ADR
56,ALLSEC,ALLSEC,STK,NSE,,INR,,,,,2000,100000,-500000,0,-92500,,0.05,N,100,ADR
57,ALMONDZ,ALMONDZ,STK,NSE,,INR,,,,,2000,100000,-500000,0,-94250,,0.05,N,100,ADR
58,ALOKTEXT,ALOKTEXT,STK,NSE,,INR,,,,,2000,100000,-500000,0,-96000,,0.05,N,100,ADR
59,ALPA,ALPA,STK,NSE,,INR,,,,,2000,100000,-500000,0,-97750,,0.05,N,100,ADR
60,ALPHAGEO,ALPHAGEO,STK,NSE,,INR,,,,,2000,100000,-500000,0,-99500,,0.05,N,100,ADR
61,ALPINEHOU,ALPINEHOU,STK,NSE,,INR,,,,,2000,100000,-500000,0,-101250,,0.05,N,100,ADR
62,ALPSINDUS,ALPSINDUS,STK,NSE,,INR,,,,,2000,100000,-500000,0,-103000,,0.05,N,100,ADR
63,AIL,AIL,STK,NSE,,INR,,,,,2000,100000,-500000,0,-104750,,0.05,N,100,ADR
64,AMARAJABA,AMARAJABA,STK,NSE,,INR,,,,,2000,100000,-500000,0,-106500,,0.05,N,100,ADR
65,AMARJOTHI,AMARJOTHI,STK,NSE,,INR,,,,,2000,100000,-500000,0,-108250,,0.05,N,100,ADR
66,AMBIKCO,AMBIKCO,STK,NSE,,INR,,,,,2000,100000,-500000,0,-110000,,0.05,N,100,ADR
67,AMBUJACEM,AMBUJACEM,STK,NSE,,INR,,,,,2000,100000,-500000,0,-111750,,0.05,N,100,ADR
68,AMDIND,AMDIND,STK,NSE,,INR,,,,,2000,100000,-500000,0,-113500,,0.05,N,100,ADR
69,ASIL,ASIL,STK,NSE,,INR,,,,,2000,100000,-500000,0,-115250,,0.05,N,100,ADR
70,AMLSTEEL,AMLSTEEL,STK,NSE,,INR,,,,,2000,100000,-500000,0,-117000,,0.05,N,100,ADR
71,AMRUTANJA,AMRUTANJA,STK,NSE,,INR,,,,,2000,100000,-500000,0,-118750,,0.05,N,100,ADR
72,AMTEKAUTO,AMTEKAUTO,STK,NSE,,INR,,,,,2000,100000,-500000,0,-120500,,0.05,N,100,ADR
73,AMTEKINDI,AMTEKINDI,STK,NSE,,INR,,,,,2000,100000,-500000,0,-122250,,0.05,N,100,ADR
74,ANANTRAJ,ANANTRAJ,STK,NSE,,INR,,,,,2000,100000,-500000,0,-124000,,0.05,N,100,ADR
75,ANDHRABAN,ANDHRABAN,STK,NSE,,INR,,,,,2000,100000,-500000,0,-125750,,0.05,N,100,ADR
76,ANDHRACEM,ANDHRACEM,STK,NSE,,INR,,,,,2000,100000,-500000,0,-127500,,0.05,N,100,ADR
77,IPAPPM,IPAPPM,STK,NSE,,INR,,,,,2000,100000,-500000,0,-129250,,0.05,N,100,ADR
78,ANDHRSUGA,ANDHRSUGA,STK,NSE,,INR,,,,,2000,100000,-500000,0,-131000,,0.05,N,100,ADR
79,ANGIND,ANGIND,STK,NSE,,INR,,,,,2000,100000,-500000,0,-132750,,0.05,N,100,ADR
80,ANIKINDS,ANIKINDS,STK,NSE,,INR,,,,,2000,100000,-500000,0,-134500,,0.05,N,100,ADR
81,ANKITMETA,ANKITMETA,STK,NSE,,INR,,,,,2000,100000,-500000,0,-136250,,0.05,N,100,ADR
82,ANSALHSG,ANSALHSG,STK,NSE,,INR,,,,,2000,100000,-500000,0,-138000,,0.05,N,100,ADR
83,ANSALAPI,ANSALAPI,STK,NSE,,INR,,,,,2000,100000,-500000,0,-139750,,0.05,N,100,ADR
84,ANTGRAPHI,ANTGRAPHI,STK,NSE,,INR,,,,,2000,100000,-500000,0,-141500,,0.05,N,100,ADR
85,APARINDS,APARINDS,STK,NSE,,INR,,,,,2000,100000,-500000,0,-143250,,0.05,N,100,ADR
86,APCOTEXIN,APCOTEXIN,STK,NSE,,INR,,,,,2000,100000,-500000,0,-145000,,0.05,N,100,ADR
87,APLAPOLLO,APLAPOLLO,STK,NSE,,INR,,,,,2000,100000,-500000,0,-146750,,0.05,N,100,ADR
88,APLAB,APLAB,STK,NSE,,INR,,,,,2000,100000,-500000,0,-148500,,0.05,N,100,ADR
89,APOLLOHOS,APOLLOHOS,STK,NSE,,INR,,,,,2000,100000,-500000,0,-150250,,0.05,N,100,ADR
90,APOLLOTYR,APOLLOTYR,STK,NSE,,INR,,,,,2000,100000,-500000,0,-152000,,0.05,N,100,ADR
91,APTECHT,APTECHT,STK,NSE,,INR,,,,,2000,100000,-500000,0,-153750,,0.05,N,100,ADR
92,ARCHIDPLY,ARCHIDPLY,STK,NSE,,INR,,,,,2000,100000,-500000,0,-155500,,0.05,N,100,ADR
93,ARCHIES,ARCHIES,STK,NSE,,INR,,,,,2000,100000,-500000,0,-157250,,0.05,N,100,ADR
94,ALSTOMTD,ALSTOMTD,STK,NSE,,INR,,,,,2000,100000,-500000,0,-159000,,0.05,N,100,ADR
95,ARIES,ARIES,STK,NSE,,INR,,,,,2000,100000,-500000,0,-160750,,0.05,N,100,ADR
96,ARIHANT,ARIHANT,STK,NSE,,INR,,,,,2000,100000,-500000,0,-162500,,0.05,N,100,ADR
97,AROGRANIT,AROGRANIT,STK,NSE,,INR,,,,,2000,100000,-500000,0,-164250,,0.05,N,100,ADR
98,ARROWTEX,ARROWTEX,STK,NSE,,INR,,,,,2000,100000,-500000,0,-166000,,0.05,N,100,ADR
99,ARSHIYA,ARSHIYA,STK,NSE,,INR,,,,,2000,100000,-500000,0,-167750,,0.05,N,100,ADR
100,ARSSINFRA,ARSSINFRA,STK,NSE,,INR,,,,,2000,100000,-500000,0,-169500,,0.05,N,100,ADR
101,ARVIND,ARVIND,STK,NSE,,INR,,,,,2000,100000,-500000,0,-171250,,0.05,N,100,ADR
102,ARVINDREM,ARVINDREM,STK,NSE,,INR,,,,,2000,100000,-500000,0,-173000,,0.05,N,100,ADR
103,ASAHIINDI,ASAHIINDI,STK,NSE,,INR,,,,,2000,100000,-500000,0,-174750,,0.05,N,100,ADR
104,ASAHISONG,ASAHISONG,STK,NSE,,INR,,,,,2000,100000,-500000,0,-176500,,0.05,N,100,ADR
105,ASHAPURMI,ASHAPURMI,STK,NSE,,INR,,,,,2000,100000,-500000,0,-178250,,0.05,N,100,ADR
106,ASHIANA,ASHIANA,STK,NSE,,INR,,,,,2000,100000,-500000,0,-180000,,0.05,N,100,ADR
107,ASHIMASYN,ASHIMASYN,STK,NSE,,INR,,,,,2000,100000,-500000,0,-181750,,0.05,N,100,ADR
108,ASHOKLEY,ASHOKLEY,STK,NSE,,INR,,,,,2000,100000,-500000,0,-183500,,0.05,N,100,ADR
109,ASHOKA,ASHOKA,STK,NSE,,INR,,,,,2000,100000,-500000,0,-185250,,0.05,N,100,ADR
110,ASIANTILE,ASIANTILE,STK,NSE,,INR,,,,,2000,100000,-500000,0,-187000,,0.05,N,100,ADR
111,AHLEAST,AHLEAST,STK,NSE,,INR,,,,,2000,100000,-500000,0,-188750,,0.05,N,100,ADR
112,ASIANHOTN,ASIANHOTN,STK,NSE,,INR,,,,,2000,100000,-500000,0,-190500,,0.05,N,100,ADR
113,AHLWEST,AHLWEST,STK,NSE,,INR,,,,,2000,100000,-500000,0,-192250,,0.05,N,100,ADR
114,ASIANPAIN,ASIANPAIN,STK,NSE,,INR,,,,,2000,100000,-500000,0,-194000,,0.05,N,100,ADR
115,ASSAMCO,ASSAMCO,STK,NSE,,INR,,,,,2000,100000,-500000,0,-195750,,0.05,N,100,ADR
116,ASTEC,ASTEC,STK,NSE,,INR,,,,,2000,100000,-500000,0,-197500,,0.05,N,100,ADR
117,SHRIASTER,SHRIASTER,STK,NSE,,INR,,,,,2000,100000,-500000,0,-199250,,0.05,N,100,ADR
118,ASTRAMICR,ASTRAMICR,STK,NSE,,INR,,,,,2000,100000,-500000,0,-201000,,0.05,N,100,ADR
119,ASTRAL,ASTRAL,STK,NSE,,INR,,,,,2000,100000,-500000,0,-202750,,0.05,N,100,ADR
120,ASTRAZEN,ASTRAZEN,STK,NSE,,INR,,,,,2000,100000,-500000,0,-204500,,0.05,N,100,ADR
121,ATLANTA,ATLANTA,STK,NSE,,INR,,,,,2000,100000,-500000,0,-206250,,0.05,N,100,ADR
122,ATLASCYCL,ATLASCYCL,STK,NSE,,INR,,,,,2000,100000,-500000,0,-208000,,0.05,N,100,ADR
123,ATNINTER,ATNINTER,STK,NSE,,INR,,,,,2000,100000,-500000,0,-209750,,0.05,N,100,ADR
124,ATULAUTO,ATULAUTO,STK,NSE,,INR,,,,,2000,100000,-500000,0,-211500,,0.05,N,100,ADR
125,ATUL,ATUL,STK,NSE,,INR,,,,,2000,100000,-500000,0,-213250,,0.05,N,100,ADR
126,AURIONPRO,AURIONPRO,STK,NSE,,INR,,,,,2000,100000,-500000,0,-215000,,0.05,N,100,ADR
127,AUROPHARM,AUROPHARM,STK,NSE,,INR,,,,,2000,100000,-500000,0,-216750,,0.05,N,100,ADR
128,AUSOMENT,AUSOMENT,STK,NSE,,INR,,,,,2000,100000,-500000,0,-218500,,0.05,N,100,ADR
129,AUTOIND,AUTOIND,STK,NSE,,INR,,,,,2000,100000,-500000,0,-220250,,0.05,N,100,ADR
130,AUTOLITIN,AUTOLITIN,STK,NSE,,INR,,,,,2000,100000,-500000,0,-222000,,0.05,N,100,ADR
131,AUTOAXLES,AUTOAXLES,STK,NSE,,INR,,,,,2000,100000,-500000,0,-223750,,0.05,N,100,ADR
132,ASAL,ASAL,STK,NSE,,INR,,,,,2000,100000,-500000,0,-225500,,0.05,N,100,ADR
133,AVANTI,AVANTI,STK,NSE,,INR,,,,,2000,100000,-500000,0,-227250,,0.05,N,100,ADR
134,SANOFI,SANOFI,STK,NSE,,INR,,,,,2000,100000,-500000,0,-229000,,0.05,N,100,ADR
135,AVTNPL,AVTNPL,STK,NSE,,INR,,,,,2000,100000,-500000,0,-230750,,0.05,N,100,ADR
136,AXISBANK,AXISBANK,STK,NSE,,INR,,,,,2000,100000,-500000,0,-232500,,0.05,N,100,ADR
137,AXISGOLD,AXISGOLD,STK,NSE,,INR,,,,,2000,100000,-500000,0,-234250,,0.05,N,100,ADR
138,AXIS-ITT,AXIS-ITT,STK,NSE,,INR,,,,,2000,100000,-500000,0,-236000,,0.05,N,100,ADR
139,BAFNAPHAR,BAFNAPHAR,STK,NSE,,INR,,,,,2000,100000,-500000,0,-237750,,0.05,N,100,ADR
140,BAGFILMS,BAGFILMS,STK,NSE,,INR,,,,,2000,100000,-500000,0,-239500,,0.05,N,100,ADR
141,BAJFINANC,BAJFINANC,STK,NSE,,INR,,,,,2000,100000,-500000,0,-241250,,0.05,N,100,ADR
142,BAJAJ-AUT,BAJAJ-AUT,STK,NSE,,INR,,,,,2000,100000,-500000,0,-243000,,0.05,N,100,ADR
143,BAJAJCORP,BAJAJCORP,STK,NSE,,INR,,,,,2000,100000,-500000,0,-244750,,0.05,N,100,ADR
144,BAJAJELEC,BAJAJELEC,STK,NSE,,INR,,,,,2000,100000,-500000,0,-246500,,0.05,N,100,ADR
145,BAJAJFINS,BAJAJFINS,STK,NSE,,INR,,,,,2000,100000,-500000,0,-248250,,0.05,N,100,ADR
146,BAJAJHIND,BAJAJHIND,STK,NSE,,INR,,,,,2000,100000,-500000,0,-250000,,0.05,N,100,ADR
147,BAJAJHLDN,BAJAJHLDN,STK,NSE,,INR,,,,,2000,100000,-500000,0,-251750,,0.05,N,100,ADR
148,BALPHARMA,BALPHARMA,STK,NSE,,INR,,,,,2000,100000,-500000,0,-253500,,0.05,N,100,ADR
149,BALAMINES,BALAMINES,STK,NSE,,INR,,,,,2000,100000,-500000,0,-255250,,0.05,N,100,ADR
150,BALAJITEL,BALAJITEL,STK,NSE,,INR,,,,,2000,100000,-500000,0,-257000,,0.05,N,100,ADR
151,BALKRISIN,BALKRISIN,STK,NSE,,INR,,,,,2000,100000,-500000,0,-258750,,0.05,N,100,ADR
152,BALLARPUR,BALLARPUR,STK,NSE,,INR,,,,,2000,100000,-500000,0,-260500,,0.05,N,100,ADR
153,BALMLAWRI,BALMLAWRI,STK,NSE,,INR,,,,,2000,100000,-500000,0,-262250,,0.05,N,100,ADR
154,BALRAMCHI,BALRAMCHI,STK,NSE,,INR,,,,,2000,100000,-500000,0,-264000,,0.05,N,100,ADR
155,BANARBEAD,BANARBEAD,STK,NSE,,INR,,,,,2000,100000,-500000,0,-265750,,0.05,N,100,ADR
156,BANCOINDI,BANCOINDI,STK,NSE,,INR,,,,,2000,100000,-500000,0,-267500,,0.05,N,100,ADR
157,BANG,BANG,STK,NSE,,INR,,,,,2000,100000,-500000,0,-269250,,0.05,N,100,ADR
158,BANKBAROD,BANKBAROD,STK,NSE,,INR,,,,,2000,100000,-500000,0,-271000,,0.05,N,100,ADR
159,BANKINDIA,BANKINDIA,STK,NSE,,INR,,,,,2000,100000,-500000,0,-272750,,0.05,N,100,ADR
160,MAHABANK,MAHABANK,STK,NSE,,INR,,,,,2000,100000,-500000,0,-274500,,0.05,N,100,ADR
161,BASML,BASML,STK,NSE,,INR,,,,,2000,100000,-500000,0,-276250,,0.05,N,100,ADR
162,BANARISUG,BANARISUG,STK,NSE,,INR,,,,,2000,100000,-500000,0,-278000,,0.05,N,100,ADR
163,BANSWRAS,BANSWRAS,STK,NSE,,INR,,,,,2000,100000,-500000,0,-279750,,0.05,N,100,ADR
164,BVCL,BVCL,STK,NSE,,INR,,,,,2000,100000,-500000,0,-281500,,0.05,N,100,ADR
165,BARTRONIC,BARTRONIC,STK,NSE,,INR,,,,,2000,100000,-500000,0,-283250,,0.05,N,100,ADR
166,BASF,BASF,STK,NSE,,INR,,,,,2000,100000,-500000,0,-285000,,0.05,N,100,ADR
167,BATAINDIA,BATAINDIA,STK,NSE,,INR,,,,,2000,100000,-500000,0,-286750,,0.05,N,100,ADR
168,BAYERCROP,BAYERCROP,STK,NSE,,INR,,,,,2000,100000,-500000,0,-288500,,0.05,N,100,ADR
169,BEARDSELL,BEARDSELL,STK,NSE,,INR,,,,,2000,100000,-500000,0,-290250,,0.05,N,100,ADR
