serialno,symbol,type,exchange,primaryexchange,currency,expiry,option,right,contractID,additionalInput,longvolume,shortvolume,aggression,minsize,bars,trailstop
1,BAC,STK,SMART,,USD,,,,,2000,0,-5000000,0,100,Y,0.05
2,C,STK,SMART,,USD,,,,,2000,0,-5000000,0,100,Y,0.05
