serialno,brokersymbol,exchangesymbol,displayname,type,exchange,primaryexchange,currency,expiry,option,right,minsize,barstarttime,streaming,strategy
1,ACC,ACC,,STK,NSE,,INR,,,,125,,2,CSV
2,AMBUJACEM,AMBUJACEM,,STK,NSE,,INR,,,,1000,,2,CSV
3,ASIANPAIN,ASIANPAINT,,STK,NSE,,INR,,,,250,,2,CSV
4,AXISBANK,AXISBANK,,STK,NSE,,INR,,,,500,,2,CSV
5,BANKBAROD,BANKBARODA,,STK,NSE,,INR,,,,2000,,2,CSV
6,BHARTIART,BHARTIARTL,,STK,NSE,,INR,,,,1000,,2,CSV
7,BHEL,BHEL,,STK,NSE,,INR,,,,1000,,2,CSV
8,BPCL,BPCL,,STK,NSE,,INR,,,,500,,2,CSV
9,CAIRN,CAIRN,,STK,NSE,,INR,,,,1000,,2,CSV
10,CIPLA,CIPLA,,STK,NSE,,INR,,,,500,,2,CSV
11,DRREDDY,DRREDDY,,STK,NSE,,INR,,,,125,,2,CSV
12,GAIL,GAIL,,STK,NSE,,INR,,,,1000,,2,CSV
13,GRASIM,GRASIM,,STK,NSE,,INR,,,,125,,2,CSV
14,HCLTECH,HCLTECH,,STK,NSE,,INR,,,,250,,2,CSV
15,HDFC,HDFC,,STK,NSE,,INR,,,,250,,2,CSV
16,HDFCBANK,HDFCBANK,,STK,NSE,,INR,,,,250,,2,CSV
17,HINDALCO,HINDALCO,,STK,NSE,,INR,,,,2000,,2,CSV
18,HINDUNILV,HINDUNILVR,,STK,NSE,,INR,,,,250,,2,CSV
19,ICICIBANK,ICICIBANK,,STK,NSE,,INR,,,,1000,,2,CSV
20,IDEA,IDEA,,STK,NSE,,INR,,,,2000,,2,CSV
21,INDUSINDB,INDUSINDBK,,STK,NSE,,INR,,,,250,,2,CSV
22,ITC,ITC,,STK,NSE,,INR,,,,1000,,2,CSV
23,KOTAKBANK,KOTAKBANK,,STK,NSE,,INR,,,,500,,2,CSV
24,LT,LT,,STK,NSE,,INR,,,,4000,,2,CSV
25,LUPIN,LUPIN,,STK,NSE,,INR,,,,125,,2,CSV
26,MARUTI,MARUTI,,STK,NSE,,INR,,,,125,,2,CSV
27,MM,M&M,,STK,NSE,,INR,,,,1000,,2,CSV
28,NTPC,NTPC,,STK,NSE,,INR,,,,2000,,2,CSV
29,ONGC,ONGC,,STK,NSE,,INR,,,,1000,,2,CSV
30,PNB,PNB,,STK,NSE,,INR,,,,2000,,2,CSV
31,POWERGRID,POWERGRID,,STK,NSE,,INR,,,,2000,,2,CSV
32,RELIANCE,RELIANCE,,STK,NSE,,INR,,,,250,,2,CSV
33,SBIN,SBIN,,STK,NSE,,INR,,,,1000,,2,CSV
34,SUNPHARMA,SUNPHARMA,,STK,NSE,,INR,,,,250,,2,CSV
35,TATAMOTOR,TATAMOTORS,,STK,NSE,,INR,,,,500,,2,CSV
36,TATAPOWER,TATAPOWER,,STK,NSE,,INR,,,,4000,,2,CSV
37,TATASTEEL,TATASTEEL,,STK,NSE,,INR,,,,1000,,2,CSV
38,TCS,TCS,,STK,NSE,,INR,,,,125,,2,CSV
39,TECHM,TECHM,,STK,NSE,,INR,,,,500,,2,CSV
40,ULTRACEMC,ULTRACEMCO,,STK,NSE,,INR,,,,125,,2,CSV
41,WIPRO,WIPRO,,STK,NSE,,INR,,,,500,,2,CSV
42,YESBANK,YESBANK,,STK,NSE,,INR,,,,250,,2,CSV
43,ZEEL,ZEEL,,STK,NSE,,INR,,,,1000,,2,CSV
