[Thu Sep 05 14:57:00 IST 2013] INFO: ,Symbol,BarNo,HighestHigh,LowestLow,LastPrice,Volume,CumulativeVol,VolumeSlope,MinSlopeReqd,MA,LongVolume,ShortVolume,DateTime,ruleHighestHigh,ruleCumVolumeLong,ruleSlopeLong,ruleVolumeLong,ruleLowestLow,ruleCumVolumeShort,ruleSlopeShort,ruleVolumeShort 
[Thu Sep 05 14:57:10 IST 2013] INFO: ,NIFTY50,1,9.99999999E8,0.0,5607.3,-9223372036854775808,0,0.0,1.0666666666666667,4.9E-324,10,-500000,20130905 14:57:10 IST,false,false,false,false,false,true,false,false 
[Thu Sep 05 14:57:11 IST 2013] INFO: ,BANKBAROD,1,9.99999999E8,0.0,508.2,-9223372036854775808,0,0.0,1.0666666666666667,4.9E-324,10,-500000,20130905 14:57:11 IST,false,false,false,false,false,true,false,false 
[Thu Sep 05 14:57:11 IST 2013] INFO: ,NIFTY50,1,9.99999999E8,0.0,5607.45,-9223372036854775808,0,0.0,1.0666666666666667,4.9E-324,10,-500000,20130905 14:57:11 IST,false,false,false,false,false,true,false,false 
[Thu Sep 05 14:57:12 IST 2013] INFO: ,AXISBANK,1,9.99999999E8,0.0,918.5,-9223372036854775808,0,0.0,1.0666666666666667,4.9E-324,10,-500000,20130905 14:57:12 IST,false,false,false,false,false,true,false,false 
[Thu Sep 05 14:57:12 IST 2013] INFO: ,BANKBAROD,1,9.99999999E8,0.0,508.0,-9223372036854775808,0,0.0,1.0666666666666667,4.9E-324,10,-500000,20130905 14:57:12 IST,false,false,false,false,false,true,false,false 
[Thu Sep 05 14:57:12 IST 2013] INFO: ,NIFTY50,1,9.99999999E8,0.0,5607.55,-9223372036854775808,0,0.0,1.0666666666666667,4.9E-324,10,-500000,20130905 14:57:12 IST,false,false,false,false,false,true,false,false 
[Thu Sep 05 14:57:12 IST 2013] INFO: ,BHARTIART,1,9.99999999E8,0.0,298.5,-9223372036854775808,0,0.0,1.0666666666666667,4.9E-324,10,-500000,20130905 14:57:12 IST,false,false,false,false,false,true,false,false 
[Thu Sep 05 14:57:13 IST 2013] INFO: ,AXISBANK,1,9.99999999E8,0.0,918.3,-9223372036854775808,0,0.0,1.0666666666666667,4.9E-324,10,-500000,20130905 14:57:13 IST,false,false,false,false,false,true,false,false 
[Thu Sep 05 14:57:13 IST 2013] INFO: ,ALBK,1,9.99999999E8,0.0,71.9,-9223372036854775808,0,0.0,1.0666666666666667,4.9E-324,10,-500000,20130905 14:57:13 IST,false,false,false,false,false,true,false,false 
[Thu Sep 05 14:57:13 IST 2013] INFO: ,NIFTY50,1,9.99999999E8,0.0,5607.8,-9223372036854775808,0,0.0,1.0666666666666667,4.9E-324,10,-500000,20130905 14:57:13 IST,false,false,false,false,false,true,false,false 
[Thu Sep 05 14:57:13 IST 2013] INFO: ,BHARTIART,1,9.99999999E8,0.0,298.3,-9223372036854775808,0,0.0,1.0666666666666667,4.9E-324,10,-500000,20130905 14:57:13 IST,false,false,false,false,false,true,false,false 
[Thu Sep 05 14:57:14 IST 2013] INFO: ,ADANIPORT,1,9.99999999E8,0.0,124.15,-9223372036854775808,0,0.0,1.0666666666666667,4.9E-324,10,-500000,20130905 14:57:14 IST,false,false,false,false,false,true,false,false 
[Thu Sep 05 14:57:14 IST 2013] INFO: ,BANKBAROD,1,9.99999999E8,0.0,508.05,-9223372036854775808,0,0.0,1.0666666666666667,4.9E-324,10,-500000,20130905 14:57:14 IST,false,false,false,false,false,true,false,false 
[Thu Sep 05 14:57:15 IST 2013] INFO: ,BANKINDIA,1,9.99999999E8,0.0,146.5,-9223372036854775808,0,0.0,1.0666666666666667,4.9E-324,10,-500000,20130905 14:57:15 IST,false,false,false,false,false,true,false,false 
[Thu Sep 05 14:57:15 IST 2013] INFO: ,AXISBANK,1,9.99999999E8,0.0,918.95,-9223372036854775808,0,0.0,1.0666666666666667,4.9E-324,10,-500000,20130905 14:57:15 IST,false,false,false,false,false,true,false,false 
[Thu Sep 05 14:57:15 IST 2013] INFO: ,NIFTY50,1,9.99999999E8,0.0,5608.0,-9223372036854775808,0,0.0,1.0666666666666667,4.9E-324,10,-500000,20130905 14:57:15 IST,false,false,false,false,false,true,false,false 
[Thu Sep 05 14:57:16 IST 2013] INFO: ,NIFTY50,1,9.99999999E8,0.0,5607.8,-9223372036854775808,0,0.0,1.0666666666666667,4.9E-324,10,-500000,20130905 14:57:16 IST,false,false,false,false,false,true,false,false 
[Thu Sep 05 14:57:16 IST 2013] INFO: ,BHARTIART,1,9.99999999E8,0.0,298.4,-9223372036854775808,0,0.0,1.0666666666666667,4.9E-324,10,-500000,20130905 14:57:16 IST,false,false,false,false,false,true,false,false 
[Thu Sep 05 14:57:17 IST 2013] INFO: ,AXISBANK,1,9.99999999E8,0.0,919.05,-9223372036854775808,0,0.0,1.0666666666666667,4.9E-324,10,-500000,20130905 14:57:17 IST,false,false,false,false,false,true,false,false 
[Thu Sep 05 14:57:17 IST 2013] INFO: ,NIFTY50,1,9.99999999E8,0.0,5608.0,-9223372036854775808,0,0.0,1.0666666666666667,4.9E-324,10,-500000,20130905 14:57:17 IST,false,false,false,false,false,true,false,false 
