serialno,symbol,servicename,type,exchange,primaryexchange,currency,expiry,option,right,contractID,additionalInput,longvolume,shortvolume,aggression,minsize,barsstarttime,trailstop,preopen,streamingpriority,strategy
1,ADANIENT,ADANIENT,FUT,NSE,,INR,201403,,,,2000,100000,-500000,0,2000,09:15:00,0.05,N,0,IDT
2,AXISBANK,AXISBANK,FUT,NSE,,INR,201403,,,,2000,100000,-500000,0,250,09:15:00,0.05,N,1,ADR
3,BANKBAROD,BANKBAROD,FUT,NSE,,INR,201403,,,,2000,100000,-500000,0,500,09:15:00,0.05,N,1,ADR
4,BHARTIART,BHARTIART,FUT,NSE,,INR,201403,,,,2000,100000,-500000,0,1000,09:15:00,0.05,N,1,ADR
5,BHEL,BHEL,FUT,NSE,,INR,201403,,,,2000,100000,-500000,0,2000,09:15:00,0.05,N,1,ADR
6,CANBK,CANBK,FUT,NSE,,INR,201403,,,,2000,100000,-500000,0,1000,09:15:00,0.05,N,1,ADR
7,DLF,DLF,FUT,NSE,,INR,201403,,,,2000,100000,-500000,0,2000,09:15:00,0.05,N,1,ADR
8,HDIL,HDIL,FUT,NSE,,INR,201403,,,,2000,100000,-500000,0,8000,09:15:00,0.05,N,1,ADR
9,HINDALCO,HINDALCO,FUT,NSE,,INR,201403,,,,2000,100000,-500000,0,2000,09:15:00,0.05,N,1,ADR
10,IDFC,IDFC,FUT,NSE,,INR,201403,,,,2000,100000,-500000,0,4000,09:15:00,0.05,N,1,ADR
11,INDUSINDB,INDUSINDB,FUT,NSE,,INR,201403,,,,2000,100000,-500000,0,1000,09:15:00,0.05,N,1,ADR
12,ITC,ITC,FUT,NSE,,INR,201403,,,,2000,100000,-500000,0,1000,09:15:00,0.05,N,1,ADR
13,JPASSOCIA,JPASSOCIA,FUT,NSE,,INR,201403,,,,2000,100000,-500000,0,8000,09:15:00,0.05,N,1,ADR
14,JSWSTEEL,JSWSTEEL,FUT,NSE,,INR,201403,,,,2000,100000,-500000,0,500,09:15:00,0.05,N,1,ADR
15,KOTAKBANK,KOTAKBANK,FUT,NSE,,INR,201403,,,,2000,100000,-500000,0,500,09:15:00,0.05,N,1,ADR
16,KTKBANK,KTKBANK,FUT,NSE,,INR,201403,,,,2000,100000,-500000,0,4000,09:15:00,0.05,N,1,ADR
17,LT,LT,FUT,NSE,,INR,201403,,,,2000,100000,-500000,0,500,09:15:00,0.05,N,1,ADR
18,PFC,PFC,FUT,NSE,,INR,201403,,,,2000,100000,-500000,0,2000,09:15:00,0.05,N,1,ADR
19,RANBAXY,RANBAXY,FUT,NSE,,INR,201403,,,,2000,100000,-500000,0,1000,09:15:00,0.05,N,1,ADR
20,RCOM,RCOM,FUT,NSE,,INR,201403,,,,2000,100000,-500000,0,2000,09:15:00,0.05,N,1,ADR
21,RECLTD,RECLTD,FUT,NSE,,INR,201403,,,,2000,100000,-500000,0,2000,09:15:00,0.05,N,1,ADR
22,RELCAPITA,RELCAPITA,FUT,NSE,,INR,201403,,,,2000,100000,-500000,0,1000,09:15:00,0.05,N,1,ADR
23,RELINFRA,RELINFRA,FUT,NSE,,INR,201403,,,,2000,100000,-500000,0,1000,09:15:00,0.05,N,1,ADR
24,RPOWER,RPOWER,FUT,NSE,,INR,201403,,,,2000,100000,-500000,0,4000,09:15:00,0.05,N,1,ADR
25,SBIN,SBIN,FUT,NSE,,INR,201403,,,,2000,100000,-500000,0,125,09:15:00,0.05,N,1,ADR
26,SSLT,SSLT,FUT,NSE,,INR,201403,,,,2000,100000,-500000,0,2000,09:15:00,0.05,N,1,ADR
27,TATAMTRDV,TATAMTRDV,FUT,NSE,,INR,201403,,,,2000,100000,-500000,0,2000,09:15:00,0.05,N,1,ADR
28,TATASTEEL,TATASTEEL,FUT,NSE,,INR,201403,,,,2000,100000,-500000,0,1000,09:15:00,0.05,N,1,ADR
29,UNIONBANK,UNIONBANK,FUT,NSE,,INR,201403,,,,2000,100000,-500000,0,2000,09:15:00,0.05,N,1,ADR
30,UNITECH,UNITECH,FUT,NSE,,INR,201403,,,,2000,100000,-500000,0,12000,09:15:00,0.05,N,1,ADR
31,YESBANK,YESBANK,FUT,NSE,,INR,201403,,,,2000,100000,-500000,0,1000,09:15:00,0.05,N,1,ADR
