serialno,symbol,ExchangeSymbol,happyname,type,exchange,primaryexchange,currency,expiry,option,right,minsize,barsstarttime,streamingpriority,strategy
1,NIFTY50,CNXNIFTY,,FUT,NSE,,INR,20150730,,,50,,0,SWING
2,NIFTY50,CNXNIFTY,,IND,NSE,,INR,,,,1,,0,SWING
