serialno,symbol,servicename,type,exchange,primaryexchange,currency,expiry,option,right,contractID,additionalInput,longvolume,shortvolume,aggression,minsize,barsstarttime,trailstop,preopen,streamingpriority,strategy
43,ABB,ABB,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
44,ABBOTINDI,ABBOTINDI,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
45,ABGSHIP,ABGSHIP,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
46,ABHISHEK,ABHISHEK,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
47,TRIDENT,TRIDENT,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
48,ACC,ACC,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
49,AFL,AFL,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
50,HUBTOWN,HUBTOWN,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
51,ACROPETAL,ACROPETAL,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
52,ACE,ACE,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
53,ADANIENT,ADANIENT,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
54,ADANIPORT,ADANIPORT,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
55,ADANIPOWE,ADANIPOWE,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
56,ADFFOODS,ADFFOODS,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
57,ADHUNIK,ADHUNIK,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
58,ABCIL,ABCIL,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
59,BIRLAMONE,BIRLAMONE,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
60,ABIRLANUV,ABIRLANUV,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
61,ADORWELD,ADORWELD,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
62,AMTL,AMTL,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
63,ADVANIHOT,ADVANIHOT,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
64,ADVANTA,ADVANTA,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
65,AEGISCHEM,AEGISCHEM,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
66,AFTEK,AFTEK,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
67,AGCNET,AGCNET,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
68,FMNL,FMNL,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
69,AGRITECH,AGRITECH,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
70,AGRODUTCH,AGRODUTCH,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
71,ATFL,ATFL,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
72,AHLUCONT,AHLUCONT,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
73,AHMEDFORG,AHMEDFORG,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
74,AICHAMP,AICHAMP,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
75,AIAENG,AIAENG,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
76,AJANTPHAR,AJANTPHAR,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
77,AJMERA,AJMERA,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
78,AKSHOPTFB,AKSHOPTFB,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
79,ALCHEM,ALCHEM,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
80,ALEMBICLT,ALEMBICLT,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
81,APLLTD,APLLTD,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
82,ALKALI,ALKALI,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
83,ALKYLAMIN,ALKYLAMIN,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
84,ALBK,ALBK,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
85,ALLCARGO,ALLCARGO,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
86,ADSL,ADSL,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
87,ALLSEC,ALLSEC,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
88,ALMONDZ,ALMONDZ,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
89,ALOKTEXT,ALOKTEXT,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
90,ALPA,ALPA,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
91,ALPHAGEO,ALPHAGEO,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
92,ALPINEHOU,ALPINEHOU,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
93,ALPSINDUS,ALPSINDUS,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
94,AIL,AIL,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
95,AMARAJABA,AMARAJABA,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
96,AMARJOTHI,AMARJOTHI,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
97,AMBIKCO,AMBIKCO,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
98,AMBUJACEM,AMBUJACEM,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
99,AMDIND,AMDIND,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
100,ASIL,ASIL,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
101,AMLSTEEL,AMLSTEEL,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
102,AMRUTANJA,AMRUTANJA,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
103,AMTEKAUTO,AMTEKAUTO,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
104,AMTEKINDI,AMTEKINDI,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
105,ANANTRAJ,ANANTRAJ,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
106,ANDHRABAN,ANDHRABAN,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
107,ANDHRACEM,ANDHRACEM,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
108,IPAPPM,IPAPPM,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
109,ANDHRSUGA,ANDHRSUGA,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
110,ANGIND,ANGIND,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
