serialno,brokersymbol,exchangesymbol,displayname,type,exchange,primaryexchange,currency,expiry,option,right,minsize,barstarttime,streaming,strategy
1,20MICRONS,20MICRONS,20MICRONS,STK,NSE,,INR,,,,1,,4,DATA
2,3IINFOTEC,3IINFOTECH,3IINFOTECH,STK,NSE,,INR,,,,1,,4,DATA
3,3MINDIA,3MINDIA,3MINDIA,STK,NSE,,INR,,,,1,,4,DATA
4,8KMILES,8KMILES,8KMILES,STK,NSE,,INR,,,,1,,4,DATA
5,A2ZINFRA,A2ZINFRA,A2ZINFRA,STK,NSE,,INR,,,,1,,4,DATA
6,AARTIDRUG,AARTIDRUGS,AARTIDRUGS,STK,NSE,,INR,,,,1,,4,DATA
7,AARTIIND,AARTIIND,AARTIIND,STK,NSE,,INR,,,,1,,4,DATA
8,AARVEEDEN,AARVEEDEN,AARVEEDEN,STK,NSE,,INR,,,,1,,4,DATA
9,ABAN,ABAN,ABAN,STK,NSE,,INR,,,,1,,4,DATA
10,ABB,ABB,ABB,STK,NSE,,INR,,,,1,,4,DATA
11,ABBOTINDI,ABBOTINDIA,ABBOTINDIA,STK,NSE,,INR,,,,1,,4,DATA
12,ABGSHIP,ABGSHIP,ABGSHIP,STK,NSE,,INR,,,,1,,4,DATA
13,ABHISHEK,ABHISHEK,ABHISHEK,STK,NSE,,INR,,,,1,,4,DATA
14,ACC,ACC,ACC,STK,NSE,,INR,,,,1,,4,DATA
15,AFL,AFL,AFL,STK,NSE,,INR,,,,1,,4,DATA
16,ACCELYA,ACCELYA,ACCELYA,STK,NSE,,INR,,,,1,,4,DATA
17,ACROPETAL,ACROPETAL,ACROPETAL,STK,NSE,,INR,,,,1,,4,DATA
18,ACE,ACE,ACE,STK,NSE,,INR,,,,1,,4,DATA
19,ADANIENT,ADANIENT,ADANIENT,STK,NSE,,INR,,,,1,,4,DATA
20,ADANIPORT,ADANIPORTS,ADANIPORTS,STK,NSE,,INR,,,,1,,4,DATA
21,ADANIPOWE,ADANIPOWER,ADANIPOWER,STK,NSE,,INR,,,,1,,4,DATA
22,ADANITRAN,ADANITRANS,ADANITRANS,STK,NSE,,INR,,,,1,,4,DATA
23,ADFFOODS,ADFFOODS,ADFFOODS,STK,NSE,,INR,,,,1,,4,DATA
24,ADHUNIKIN,ADHUNIKIND,ADHUNIKIND,STK,NSE,,INR,,,,1,,4,DATA
25,ADHUNIK,ADHUNIK,ADHUNIK,STK,NSE,,INR,,,,1,,4,DATA
26,ADI,ADI,ADI,STK,NSE,,INR,,,,1,,4,DATA
27,ABFRL,ABFRL,ABFRL,STK,NSE,,INR,,,,1,,4,DATA
28,BIRLAMONE,BIRLAMONEY,BIRLAMONEY,STK,NSE,,INR,,,,1,,4,DATA
