serialno,brokersymbol,exchangesymbol,displayname,type,exchange,primaryexchange,currency,expiry,option,right,minsize,barstarttime,streaming,strategy
1,LUPIN,LUPIN,,FUT,NSE,,INR,20151029,,,125,,2,SWING
2,LUPIN,LUPIN,,STK,NSE,,INR,,,,125,,2,SWING
3,LUPIN,LUPIN,,FUT,NSE,,INR,20151126,,,125,,2,SWING
