serialno,brokersymbol,exchangesymbol,displayname,type,exchange,primaryexchange,currency,expiry,option,right,minsize,barstarttime,streaming,strategy
105,WIPRO,WIPRO,,FUT,NSE,,INR,20150730,,,500,,4,DATA
106,WOCKPHARM,WOCKPHARMA,,FUT,NSE,,INR,20150730,,,125,,4,DATA
107,JISLJALEQ,JISLJALEQS,,FUT,NSE,,INR,20150730,,,4000,,4,DATA
108,JPPOWER,JPPOWER,,FUT,NSE,,INR,20150730,,,19000,,4,DATA
109,JUSTDIAL,JUSTDIAL,,FUT,NSE,,INR,20150730,,,250,,4,DATA
110,LTFH,L&TFH,,FUT,NSE,,INR,20150730,,,4000,,4,DATA
111,LUPIN,LUPIN,,FUT,NSE,,INR,20150730,,,125,,4,DATA
112,MM,M&M,,FUT,NSE,,INR,20150730,,,250,,4,DATA
113,MINDTREE,MINDTREE,,FUT,NSE,,INR,20150730,,,250,,4,DATA
114,MRF,MRF,,FUT,NSE,,INR,20150730,,,125,,4,DATA
115,ADANIENT,ADANIENT,,FUT,NSE,,INR,20150730,,,500,,4,DATA
116,ENGINERSI,ENGINERSIN,,FUT,NSE,,INR,20150730,,,1000,,4,DATA
117,GLENMARK,GLENMARK,,FUT,NSE,,INR,20150730,,,250,,4,DATA
118,NMDC,NMDC,,FUT,NSE,,INR,20150730,,,2000,,4,DATA
119,DHFL,DHFL,,FUT,NSE,,INR,20150730,,,500,,4,DATA
120,ONGC,ONGC,,FUT,NSE,,INR,20150730,,,1000,,4,DATA
121,HINDUNILV,HINDUNILVR,,FUT,NSE,,INR,20150730,,,250,,4,DATA
122,ICICIBANK,ICICIBANK,,FUT,NSE,,INR,20150730,,,1000,,4,DATA
123,RELIANCE,RELIANCE,,FUT,NSE,,INR,20150730,,,250,,4,DATA
124,SAIL,SAIL,,FUT,NSE,,INR,20150730,,,4000,,4,DATA
125,SBIN,SBIN,,FUT,NSE,,INR,20150730,,,1000,,4,DATA
126,JUBLFOOD,JUBLFOOD,,FUT,NSE,,INR,20150730,,,250,,4,DATA
127,SIEMENS,SIEMENS,,FUT,NSE,,INR,20150730,,,250,,4,DATA
128,HDIL,HDIL,,FUT,NSE,,INR,20150730,,,2000,,4,DATA
129,SRTRANSFI,SRTRANSFIN,,FUT,NSE,,INR,20150730,,,250,,4,DATA
130,HEXAWARE,HEXAWARE,,FUT,NSE,,INR,20150730,,,1000,,4,DATA
131,TATACHEM,TATACHEM,,FUT,NSE,,INR,20150730,,,500,,4,DATA
132,TATAGLOBA,TATAGLOBAL,,FUT,NSE,,INR,20150730,,,2000,,4,DATA
133,TATAPOWER,TATAPOWER,,FUT,NSE,,INR,20150730,,,4000,,4,DATA
134,TECHM,TECHM,,FUT,NSE,,INR,20150730,,,500,,4,DATA
135,UBL,UBL,,FUT,NSE,,INR,20150730,,,250,,4,DATA
136,UCOBANK,UCOBANK,,FUT,NSE,,INR,20150730,,,4000,,4,DATA
137,MARUTI,MARUTI,,FUT,NSE,,INR,20150730,,,125,,4,DATA
138,UPL,UPL,,FUT,NSE,,INR,20150730,,,500,,4,DATA
139,JINDALSTE,JINDALSTEL,,FUT,NSE,,INR,20150730,,,2000,,4,DATA
140,YESBANK,YESBANK,,FUT,NSE,,INR,20150730,,,250,,4,DATA
141,ZEEL,ZEEL,,FUT,NSE,,INR,20150730,,,1000,,4,DATA
142,JSWSTEEL,JSWSTEEL,,FUT,NSE,,INR,20150730,,,250,,4,DATA
143,MOTHERSUM,MOTHERSUMI,,FUT,NSE,,INR,20150730,,,750,,4,DATA
144,HINDZINC,HINDZINC,,FUT,NSE,,INR,20150730,,,2000,,4,DATA
145,PFC,PFC,,FUT,NSE,,INR,20150730,,,1000,,4,DATA
146,STAR,STAR,,FUT,NSE,,INR,20150730,,,250,,4,DATA
147,SUNPHARMA,SUNPHARMA,,FUT,NSE,,INR,20150730,,,250,,4,DATA
148,PETRONET,PETRONET,,FUT,NSE,,INR,20150730,,,2000,,4,DATA
149,TATAMTRDV,TATAMTRDVR,,FUT,NSE,,INR,20150730,,,1000,,4,DATA
150,UNIONBANK,UNIONBANK,,FUT,NSE,,INR,20150730,,,2000,,4,DATA
151,VOLTAS,VOLTAS,,FUT,NSE,,INR,20150730,,,1000,,4,DATA
152,TATACOMM,TATACOMM,,FUT,NSE,,INR,20150730,,,500,,4,DATA
153,TATASTEEL,TATASTEEL,,FUT,NSE,,INR,20150730,,,1000,,4,DATA
154,LT,LT,,FUT,NSE,,INR,20150730,,,125,,4,DATA
155,GMRINFRA,GMRINFRA,,FUT,NSE,,INR,20150730,,,13000,,4,DATA
156,JPASSOCIA,JPASSOCIAT,,FUT,NSE,,INR,20150730,,,8000,,4,DATA
157,NHPC,NHPC,,FUT,NSE,,INR,20150730,,,11000,,4,DATA
158,SOUTHBANK,SOUTHBANK,,FUT,NSE,,INR,20150730,,,9000,,4,DATA
159,UNITECH,UNITECH,,FUT,NSE,,INR,20150730,,,11000,,4,DATA
160,END,END,END,END,END,END,,,,,1,,4,DATA
