Long Name,IB Symbol,Exchange Symbol,Currency,Contract ID,Exchange,Type
AMRUTANJAN HEALTH CARE LTD,AMRUTANJA,AMRUTANJAN,INR,116335266,NSE,STK
AMTEK AUTO LIMITED,AMTEKAUTO,AMTEKAUTO,INR,56988284,NSE,STK
ANANT RAJ LTD,ANANTRAJ,ANANTRAJ,INR,56988346,NSE,STK
ANDHRA BANK,ANDHRABAN,ANDHRABANK,INR,56988291,NSE,STK
ANDHRA CEMENTS LTD,ANDHRACEM,ANDHRACEMT,INR,64682030,NSE,STK
ANDHRA SUGARS LTD,ANDHRSUGA,ANDHRSUGAR,INR,56988389,NSE,STK
ANG INDUSTRIES LIMITED,ANGIND,ANGIND,INR,56988294,NSE,STK
ANIK INDUSTRIES LIMITED,ANIKINDS,ANIKINDS,INR,56988297,NSE,STK
ANKIT METAL & POWER LIMITED,ANKITMETA,ANKITMETAL,INR,64682560,NSE,STK
ANSAL HOUSING & CONSTRUCT,ANSALHSG,ANSALHSG,INR,56988195,NSE,STK
ANSAL PROPERTIES & INFRASTRU,ANSALAPI,ANSALAPI,INR,56988312,NSE,STK
ANTARCTICA LTD,ANTGRAPHI,ANTGRAPHIC,INR,56988443,NSE,STK
APAR INDUSTRIES LIMITED,APARINDS,APARINDS,INR,56988331,NSE,STK
APCOTEX INDUSTRIES LTD,APCOTEXIN,APCOTEXIND,INR,132773222,NSE,STK
APL APOLLO TUBES LTD,APLAPOLLO,APLAPOLLO,INR,64683033,NSE,STK
APOLLO HOSPITALS ENTERPRISE,APOLLOHOS,APOLLOHOSP,INR,78607402,NSE,STK
APOLLO TYRES LIMITED,APOLLOTYR,APOLLOTYRE,INR,56988336,NSE,STK
APTECH LTD,APTECHT,APTECHT,INR,56988334,NSE,STK
ARCHIDPLY INDUSTRIES LIMITED,ARCHIDPLY,ARCHIDPLY,INR,56988317,NSE,STK
ARCHIES LTD,ARCHIES,ARCHIES,INR,80575144,NSE,STK
ARCOTECH LTD,ARCOTECH,ARCOTECH,INR,148713054,NSE,STK
ARIES AGRO LIMITED,ARIES,ARIES,INR,56988354,NSE,STK
ARIHANT FOUNDATIONS & HOUSIN,ARIHANT,ARIHANT,INR,56988152,NSE,STK
ARO GRANITE INDUSTRIES LTD,AROGRANIT,AROGRANITE,INR,56988171,NSE,STK
ARROW COATED PRODUCTS LTD,ARROWCOAT,ARROWCOAT,INR,64682248,NSE,STK
ARROW TEXTILES LTD,ARROWTEX,ARROWTEX,INR,75733226,NSE,STK
ARSHIYA LTD,ARSHIYA,ARSHIYA,INR,64682230,NSE,STK
ARSS INFRASTRUCTURE PROJECTS,ARSSINFRA,ARSSINFRA,INR,73164375,NSE,STK
ARVIND LTD,ARVIND,ARVIND,INR,56988374,NSE,STK
ARVIND REMEDIES LTD,ARVINDREM,ARVINDREM,INR,108538689,NSE,STK
ASAHI INDIA GLASS LTD,ASAHIINDI,ASAHIINDIA,INR,75733129,NSE,STK
ASAHI SONGWON COLORS LIMITED,ASAHISONG,ASAHISONG,INR,64682565,NSE,STK
ASHAPURA MINECHEM LIMITED,ASHAPURMI,ASHAPURMIN,INR,56988404,NSE,STK
ASHIANA HOUSING LTD,ASHIANA,ASHIANA,INR,137124695,NSE,STK
ASHIMA LIMITED,ASHIMASYN,ASHIMASYN,INR,56988394,NSE,STK
ASHOK LEYLAND LIMITED,ASHOKLEY,ASHOKLEY,INR,56988221,NSE,STK
ASHOKA BUILDCON LTD,ASHOKA,ASHOKA,INR,130658038,NSE,STK
ASIAN GRANITO INDIA LIMITED,ASIANTILE,ASIANTILES,INR,56988401,NSE,STK
ASIAN HOTELS EAST LTD,AHLEAST,AHLEAST,INR,77850965,NSE,STK
ASIAN HOTELS NORTH LTD,ASIANHOTN,ASIANHOTNR,INR,74027897,NSE,STK
ASIAN HOTELS WEST LTD,AHLWEST,AHLWEST,INR,77762198,NSE,STK
ASIAN PAINTS LTD,ASIANPAIN,ASIANPAINT,INR,132214022,NSE,STK
ASSAM CO INDIA LTD,ASSAMCO,ASSAMCO,INR,56988377,NSE,STK
ASTEC LIFESCIENCES LTD,ASTEC,ASTEC,INR,70979424,NSE,STK
ASTRA MICROWAVE PRODUCTS LTD,ASTRAMICR,ASTRAMICRO,INR,56988411,NSE,STK
ASTRAL POLY TECHNIK LTD,ASTRAL,ASTRAL,INR,166947150,NSE,STK
ASTRAZENECA PHARMA INDIA LTD,ASTRAZEN,ASTRAZEN,INR,56988414,NSE,STK
ATLANTA LTD,ATLANTA,ATLANTA,INR,80647272,NSE,STK
ATLAS CYCLES HARYANA LTD,ATLASCYCL,ATLASCYCLE,INR,56988421,NSE,STK
ATN INTERNATIONAL LIMITED,ATNINTER,ATNINTER,INR,56988186,NSE,STK
ATUL AUTO LTD,ATULAUTO,ATULAUTO,INR,166349311,NSE,STK
