serialno,symbol,servicename,type,exchange,primaryexchange,currency,expiry,option,right,minsize,barstarttime,streaming,strategy
63,JSWSTEEL,JSWSTEEL,FUT,NSE,,INR,20150625,,,250,,4,DATA
64,CASTROLIN,CASTROLIND,FUT,NSE,,INR,20150625,,,500,,4,DATA
65,GRASIM,GRASIM,FUT,NSE,,INR,20150625,,,125,,4,DATA
66,JUSTDIAL,JUSTDIAL,FUT,NSE,,INR,20150625,,,125,,4,DATA
67,LICHSGFIN,LICHSGFIN,FUT,NSE,,INR,20150625,,,500,,4,DATA
68,CEATLTD,CEATLTD,FUT,NSE,,INR,20150625,,,500,,4,DATA
69,HEROMOTOC,HEROMOTOCO,FUT,NSE,,INR,20150625,,,125,,4,DATA
70,CROMPGREA,CROMPGREAV,FUT,NSE,,INR,20150625,,,1000,,4,DATA
71,LT,LT,FUT,NSE,,INR,20150625,,,125,,4,DATA
72,MM,MM,FUT,NSE,,INR,20150625,,,250,,4,DATA
73,MARUTI,MARUTI,FUT,NSE,,INR,20150625,,,125,,4,DATA
74,HINDPETRO,HINDPETRO,FUT,NSE,,INR,20150625,,,500,,4,DATA
75,MOTHERSUM,MOTHERSUMI,FUT,NSE,,INR,20150625,,,500,,4,DATA
76,MRF,MRF,FUT,NSE,,INR,20150625,,,125,,4,DATA
77,INBULLS,IBULHSGFIN,FUT,NSE,,INR,20150625,,,500,,4,DATA
78,IFCI,IFCI,FUT,NSE,,INR,20150625,,,8000,,4,DATA
79,IGL,IGL,FUT,NSE,,INR,20150625,,,500,,4,DATA
80,ITC,ITC,FUT,NSE,,INR,20150625,,,1000,,4,DATA
81,OFSS,OFSS,FUT,NSE,,INR,20150625,,,125,,4,DATA
82,PETRONET,PETRONET,FUT,NSE,,INR,20150625,,,2000,,4,DATA
83,JISLJALEQ,JISLJALEQS,FUT,NSE,,INR,20150625,,,4000,,4,DATA
84,PFC,PFC,FUT,NSE,,INR,20150625,,,1000,,4,DATA
85,JPPOWER,JPPOWER,FUT,NSE,,INR,20150625,,,15000,,4,DATA
86,KTKBANK,KTKBANK,FUT,NSE,,INR,20150625,,,2000,,4,DATA
87,LTFH,LTFH,FUT,NSE,,INR,20150625,,,4000,,4,DATA
88,LUPIN,LUPIN,FUT,NSE,,INR,20150625,,,125,,4,DATA
89,PNB,PNB,FUT,NSE,,INR,20150625,,,1250,,4,DATA
90,PTC,PTC,FUT,NSE,,INR,20150625,,,4000,,4,DATA
91,RCOM,RCOM,FUT,NSE,,INR,20150625,,,2000,,4,DATA
92,RECLTD,RECLTD,FUT,NSE,,INR,20150625,,,1000,,4,DATA
93,MINDTREE,MINDTREE,FUT,NSE,,INR,20150625,,,250,,4,DATA
94,SIEMENS,SIEMENS,FUT,NSE,,INR,20150625,,,250,,4,DATA
95,SKSMICRO,SKSMICRO,FUT,NSE,,INR,20150625,,,500,,4,DATA
96,STAR,STAR,FUT,NSE,,INR,20150625,,,250,,4,DATA
97,SUNTV,SUNTV,FUT,NSE,,INR,20150625,,,500,,4,DATA
98,TATACHEM,TATACHEM,FUT,NSE,,INR,20150625,,,500,,4,DATA
99,TATACOMM,TATACOMM,FUT,NSE,,INR,20150625,,,500,,4,DATA
100,TATAMOTOR,TATAMOTORS,FUT,NSE,,INR,20150625,,,505,,4,DATA
