serialno,brokersymbol,exchangesymbol,happyname,type,exchange,primaryexchange,currency,expiry,option,right,minsize,barsstarttime,streamingpriority,strategy
76,SUNPHARMA,SUNPHARMA,,STK,NSE,,INR,,,,250,,2,SWING
77,TATAMOTOR,TATAMOTORS,,STK,NSE,,INR,,,,500,,2,SWING
78,TATAPOWER,TATAPOWER,,STK,NSE,,INR,,,,4000,,2,SWING
79,TATASTEEL,TATASTEEL,,STK,NSE,,INR,,,,1000,,2,SWING
80,TCS,TCS,,STK,NSE,,INR,,,,125,,2,SWING
81,TECHM,TECHM,,STK,NSE,,INR,,,,500,,2,SWING
82,ULTRACEMC,ULTRACEMCO,,STK,NSE,,INR,,,,125,,2,SWING
83,WIPRO,WIPRO,,STK,NSE,,INR,,,,500,,2,SWING
84,YESBANK,YESBANK,,STK,NSE,,INR,,,,250,,2,SWING
85,ACC,ACC,,FUT,NSE,,INR,20150827,,,125,,2,SWING
86,AMBUJACEM,AMBUJACEM,,FUT,NSE,,INR,20150827,,,1000,,2,SWING
87,ASIANPAIN,ASIANPAINT,,FUT,NSE,,INR,20150827,,,250,,2,SWING
88,AXISBANK,AXISBANK,,FUT,NSE,,INR,20150827,,,500,,2,SWING
89,BANKBAROD,BANKBARODA,,FUT,NSE,,INR,20150827,,,2000,,2,SWING
90,BHARTIART,BHARTIARTL,,FUT,NSE,,INR,20150827,,,1000,,2,SWING
91,BHEL,BHEL,,FUT,NSE,,INR,20150827,,,1000,,2,SWING
92,BPCL,BPCL,,FUT,NSE,,INR,20150827,,,500,,2,SWING
93,CAIRN,CAIRN,,FUT,NSE,,INR,20150827,,,1000,,2,SWING
94,CIPLA,CIPLA,,FUT,NSE,,INR,20150827,,,500,,2,SWING
95,DRREDDY,DRREDDY,,FUT,NSE,,INR,20150827,,,125,,2,SWING
96,GAIL,GAIL,,FUT,NSE,,INR,20150827,,,1000,,2,SWING
97,GRASIM,GRASIM,,FUT,NSE,,INR,20150827,,,125,,2,SWING
98,HCLTECH,HCLTECH,,FUT,NSE,,INR,20150827,,,250,,2,SWING
99,HDFC,HDFC,,FUT,NSE,,INR,20150827,,,250,,2,SWING
100,HDFCBANK,HDFCBANK,,FUT,NSE,,INR,20150827,,,250,,2,SWING
101,HINDALCO,HINDALCO,,FUT,NSE,,INR,20150827,,,2000,,2,SWING
102,HINDUNILV,HINDUNILVR,,FUT,NSE,,INR,20150827,,,250,,2,SWING
103,ICICIBANK,ICICIBANK,,FUT,NSE,,INR,20150827,,,1000,,2,SWING
104,IDEA,IDEA,,FUT,NSE,,INR,20150827,,,2000,,2,SWING
105,INDUSINDB,INDUSINDBK,,FUT,NSE,,INR,20150827,,,250,,2,SWING
106,ITC,ITC,,FUT,NSE,,INR,20150827,,,1000,,2,SWING
107,KOTAKBANK,KOTAKBANK,,FUT,NSE,,INR,20150827,,,500,,2,SWING
108,LT,LT,,FUT,NSE,,INR,20150827,,,4000,,2,SWING
109,LUPIN,LUPIN,,FUT,NSE,,INR,20150827,,,125,,2,SWING
110,MARUTI,MARUTI,,FUT,NSE,,INR,20150827,,,125,,2,SWING
111,MM,M&M,,FUT,NSE,,INR,20150827,,,1000,,2,SWING
112,NTPC,NTPC,,FUT,NSE,,INR,20150827,,,2000,,2,SWING
113,ONGC,ONGC,,FUT,NSE,,INR,20150827,,,1000,,2,SWING
114,PNB,PNB,,FUT,NSE,,INR,20150827,,,2000,,2,SWING
115,POWERGRID,POWERGRID,,FUT,NSE,,INR,20150827,,,2000,,2,SWING
116,RELIANCE,RELIANCE,,FUT,NSE,,INR,20150827,,,250,,2,SWING
117,SBIN,SBIN,,FUT,NSE,,INR,20150827,,,1000,,2,SWING
118,SUNPHARMA,SUNPHARMA,,FUT,NSE,,INR,20150827,,,250,,2,SWING
119,TATAMOTOR,TATAMOTORS,,FUT,NSE,,INR,20150827,,,500,,2,SWING
120,TATAPOWER,TATAPOWER,,FUT,NSE,,INR,20150827,,,4000,,2,SWING
121,TATASTEEL,TATASTEEL,,FUT,NSE,,INR,20150827,,,1000,,2,SWING
122,TCS,TCS,,FUT,NSE,,INR,20150827,,,125,,2,SWING
123,TECHM,TECHM,,FUT,NSE,,INR,20150827,,,500,,2,SWING
124,ULTRACEMC,ULTRACEMCO,,FUT,NSE,,INR,20150827,,,125,,2,SWING
125,WIPRO,WIPRO,,FUT,NSE,,INR,20150827,,,500,,2,SWING
126,YESBANK,YESBANK,,FUT,NSE,,INR,20150827,,,250,,2,SWING
