serialno,brokersymbol,exchangesymbol,displayname,type,exchange,primaryexchange,currency,expiry,option,right,minsize,barstarttime,streaming,strategy
1,NIFTY50,NSENIFTY,,IND,NSE,,INR,,,,1,,4,DATA
2,3MINDIA,3MINDIA,,STK,NSE,,INR,,,,1,,4,DATA
3,ABB,ABB,,STK,NSE,,INR,,,,1,,4,DATA
4,ABGSHIP,ABGSHIP,,STK,NSE,,INR,,,,1,,4,DATA
5,ACC,ACC,,STK,NSE,,INR,,,,1,,4,DATA
6,AIAENG,AIAENG,,STK,NSE,,INR,,,,1,,4,DATA
7,AARTIIND,AARTIIND,,STK,NSE,,INR,,,,1,,4,DATA
8,ABAN,ABAN,,STK,NSE,,INR,,,,1,,4,DATA
9,ADANIPORT,ADANIPORTS,,STK,NSE,,INR,,,,1,,4,DATA
10,ABIRLANUV,ABIRLANUVO,,STK,NSE,,INR,,,,1,,4,DATA
11,ADVANTA,ADVANTA,,STK,NSE,,INR,,,,1,,4,DATA
12,ATFL,ATFL,,STK,NSE,,INR,,,,1,,4,DATA
13,AJP,AJANTPHARM,,STK,NSE,,INR,,,,1,,4,DATA
14,AKZOINDIA,AKZOINDIA,,STK,NSE,,INR,,,,1,,4,DATA
15,APLLTD,APLLTD,,STK,NSE,,INR,,,,1,,4,DATA
16,ALBK,ALBK,,STK,NSE,,INR,,,,1,,4,DATA
17,ALLCARGO,ALLCARGO,,STK,NSE,,INR,,,,1,,4,DATA
18,ALOKTEXT,ALOKTEXT,,STK,NSE,,INR,,,,1,,4,DATA
19,AIL,AIL,,STK,NSE,,INR,,,,1,,4,DATA
20,ALSTOMTD,ALSTOMT&D,,STK,NSE,,INR,,,,1,,4,DATA
21,AMARAJABA,AMARAJABAT,,STK,NSE,,INR,,,,1,,4,DATA
22,AMBUJACEM,AMBUJACEM,,STK,NSE,,INR,,,,1,,4,DATA
23,AMTEKAUTO,AMTEKAUTO,,STK,NSE,,INR,,,,1,,4,DATA
24,ANANTRAJ,ANANTRAJ,,STK,NSE,,INR,,,,1,,4,DATA
25,ANDHRABAN,ANDHRABANK,,STK,NSE,,INR,,,,1,,4,DATA
26,ANSALAPI,ANSALAPI,,STK,NSE,,INR,,,,1,,4,DATA
27,APARINDS,APARINDS,,STK,NSE,,INR,,,,1,,4,DATA
28,APOLLOHOS,APOLLOHOSP,,STK,NSE,,INR,,,,1,,4,DATA
29,APOLLOTYR,APOLLOTYRE,,STK,NSE,,INR,,,,1,,4,DATA
30,ASAHIINDI,ASAHIINDIA,,STK,NSE,,INR,,,,1,,4,DATA
31,ASHOKLEY,ASHOKLEY,,STK,NSE,,INR,,,,1,,4,DATA
32,ASHOKA,ASHOKA,,STK,NSE,,INR,,,,1,,4,DATA
33,ASIANPAIN,ASIANPAINT,,STK,NSE,,INR,,,,1,,4,DATA
34,ASTRAZEN,ASTRAZEN,,STK,NSE,,INR,,,,1,,4,DATA
35,ASTRAL,ASTRAL,,STK,NSE,,INR,,,,1,,4,DATA
36,ATUL,ATUL,,STK,NSE,,INR,,,,1,,4,DATA
37,AUROPHARM,AUROPHARMA,,STK,NSE,,INR,,,,1,,4,DATA
38,AUTOAXLES,AUTOAXLES,,STK,NSE,,INR,,,,1,,4,DATA
39,AXISBANK,AXISBANK,,STK,NSE,,INR,,,,1,,4,DATA
40,BASF,BASF,,STK,NSE,,INR,,,,1,,4,DATA
41,BEML,BEML,,STK,NSE,,INR,,,,1,,4,DATA
42,BFUTILITI,BFUTILITIE,,STK,NSE,,INR,,,,1,,4,DATA
43,BGRENERGY,BGRENERGY,,STK,NSE,,INR,,,,1,,4,DATA
44,BAJAJ-AUT,BAJAJ-AUTO,,STK,NSE,,INR,,,,1,,4,DATA
45,BAJAJCORP,BAJAJCORP,,STK,NSE,,INR,,,,1,,4,DATA
46,BAJAJELEC,BAJAJELEC,,STK,NSE,,INR,,,,1,,4,DATA
47,BAJFINANC,BAJFINANCE,,STK,NSE,,INR,,,,1,,4,DATA
48,BAJAJFINS,BAJAJFINSV,,STK,NSE,,INR,,,,1,,4,DATA
49,BAJAJHIND,BAJAJHIND,,STK,NSE,,INR,,,,1,,4,DATA
50,BAJAJHLDN,BAJAJHLDNG,,STK,NSE,,INR,,,,1,,4,DATA
51,BALLARPUR,BALLARPUR,,STK,NSE,,INR,,,,1,,4,DATA
52,BALMLAWRI,BALMLAWRIE,,STK,NSE,,INR,,,,1,,4,DATA
53,BALRAMCHI,BALRAMCHIN,,STK,NSE,,INR,,,,1,,4,DATA
54,BANKBAROD,BANKBARODA,,STK,NSE,,INR,,,,1,,4,DATA
55,BANKINDIA,BANKINDIA,,STK,NSE,,INR,,,,1,,4,DATA
56,BATAINDIA,BATAINDIA,,STK,NSE,,INR,,,,1,,4,DATA
57,BRGR,BERGEPAINT,,STK,NSE,,INR,,,,1,,4,DATA
58,BEL,BEL,,STK,NSE,,INR,,,,1,,4,DATA
59,BHARATFOR,BHARATFORG,,STK,NSE,,INR,,,,1,,4,DATA
60,BHEL,BHEL,,STK,NSE,,INR,,,,1,,4,DATA
61,BPCL,BPCL,,STK,NSE,,INR,,,,1,,4,DATA
62,BHARTIART,BHARTIARTL,,STK,NSE,,INR,,,,1,,4,DATA
63,INFRATEL,INFRATEL,,STK,NSE,,INR,,,,1,,4,DATA
64,BHUSANSTL,BHUSANSTL,,STK,NSE,,INR,,,,1,,4,DATA
65,BIOCON,BIOCON,,STK,NSE,,INR,,,,1,,4,DATA
66,BIRLACORP,BIRLACORPN,,STK,NSE,,INR,,,,1,,4,DATA
67,BLUEDART,BLUEDART,,STK,NSE,,INR,,,,1,,4,DATA
68,BLUESTARC,BLUESTARCO,,STK,NSE,,INR,,,,1,,4,DATA
69,BBTC,BBTC,,STK,NSE,,INR,,,,1,,4,DATA
70,BOMDYEING,BOMDYEING,,STK,NSE,,INR,,,,1,,4,DATA
71,BOSCHLTD,BOSCHLTD,,STK,NSE,,INR,,,,1,,4,DATA
72,BRIGADE,BRIGADE,,STK,NSE,,INR,,,,1,,4,DATA
73,BRITANNIA,BRITANNIA,,STK,NSE,,INR,,,,1,,4,DATA
74,CARERATIN,CARERATING,,STK,NSE,,INR,,,,1,,4,DATA
75,CESC,CESC,,STK,NSE,,INR,,,,1,,4,DATA
76,CRISIL,CRISIL,,STK,NSE,,INR,,,,1,,4,DATA
77,CADILAHC,CADILAHC,,STK,NSE,,INR,,,,1,,4,DATA
78,CAIRN,CAIRN,,STK,NSE,,INR,,,,1,,4,DATA
79,CANFINHOM,CANFINHOME,,STK,NSE,,INR,,,,1,,4,DATA
80,CANBK,CANBK,,STK,NSE,,INR,,,,1,,4,DATA
81,CAPF,CAPF,,STK,NSE,,INR,,,,1,,4,DATA
82,CARBORUNI,CARBORUNIV,,STK,NSE,,INR,,,,1,,4,DATA
83,CASTEXTEC,CASTEXTECH,,STK,NSE,,INR,,,,1,,4,DATA
84,CASTROLIN,CASTROLIND,,STK,NSE,,INR,,,,1,,4,DATA
85,CEATLTD,CEATLTD,,STK,NSE,,INR,,,,1,,4,DATA
86,CENTRALBK,CENTRALBK,,STK,NSE,,INR,,,,1,,4,DATA
87,CENTENKA,CENTENKA,,STK,NSE,,INR,,,,1,,4,DATA
88,CENTURYPL,CENTURYPLY,,STK,NSE,,INR,,,,1,,4,DATA
89,CENTURYTE,CENTURYTEX,,STK,NSE,,INR,,,,1,,4,DATA
90,CHAMBLFER,CHAMBLFERT,,STK,NSE,,INR,,,,1,,4,DATA
91,CHENNPETR,CHENNPETRO,,STK,NSE,,INR,,,,1,,4,DATA
92,CHOLAFIN,CHOLAFIN,,STK,NSE,,INR,,,,1,,4,DATA
93,CIPLA,CIPLA,,STK,NSE,,INR,,,,1,,4,DATA
94,CUB,CUB,,STK,NSE,,INR,,,,1,,4,DATA
95,CLNINDIA,CLNINDIA,,STK,NSE,,INR,,,,1,,4,DATA
96,COALINDIA,COALINDIA,,STK,NSE,,INR,,,,1,,4,DATA
97,COLPAL,COLPAL,,STK,NSE,,INR,,,,1,,4,DATA
98,CONCOR,CONCOR,,STK,NSE,,INR,,,,1,,4,DATA
99,COROMANDE,COROMANDEL,,STK,NSE,,INR,,,,1,,4,DATA
100,CORPBANK,CORPBANK,,STK,NSE,,INR,,,,1,,4,DATA
101,COXKINGS,COX&KINGS,,STK,NSE,,INR,,,,1,,4,DATA
102,CROMPGREA,CROMPGREAV,,STK,NSE,,INR,,,,1,,4,DATA
103,CUMMINSIN,CUMMINSIND,,STK,NSE,,INR,,,,1,,4,DATA
104,CYIENT,CYIENT,,STK,NSE,,INR,,,,1,,4,DATA
105,DBREALTY,DBREALTY,,STK,NSE,,INR,,,,1,,4,DATA
106,DBCORP,DBCORP,,STK,NSE,,INR,,,,1,,4,DATA
107,DCBBANK,DCBBANK,,STK,NSE,,INR,,,,1,,4,DATA
108,DCMSRMCON,DCMSHRIRAM,,STK,NSE,,INR,,,,1,,4,DATA
109,DLF,DLF,,STK,NSE,,INR,,,,1,,4,DATA
110,DABUR,DABUR,,STK,NSE,,INR,,,,1,,4,DATA
111,DEEPAKFER,DEEPAKFERT,,STK,NSE,,INR,,,,1,,4,DATA
112,DELTACORP,DELTACORP,,STK,NSE,,INR,,,,1,,4,DATA
113,DEN,DEN,,STK,NSE,,INR,,,,1,,4,DATA
114,DENABANK,DENABANK,,STK,NSE,,INR,,,,1,,4,DATA
115,DHFL,DHFL,,STK,NSE,,INR,,,,1,,4,DATA
116,DHANBANK,DHANBANK,,STK,NSE,,INR,,,,1,,4,DATA
117,DISHMAN,DISHMAN,,STK,NSE,,INR,,,,1,,4,DATA
118,DIVISLAB,DIVISLAB,,STK,NSE,,INR,,,,1,,4,DATA
119,DRREDDY,DRREDDY,,STK,NSE,,INR,,,,1,,4,DATA
120,DREDGECOR,DREDGECORP,,STK,NSE,,INR,,,,1,,4,DATA
121,DYNAMATEC,DYNAMATECH,,STK,NSE,,INR,,,,1,,4,DATA
122,EIDPARRY,EIDPARRY,,STK,NSE,,INR,,,,1,,4,DATA
123,EIHOTEL,EIHOTEL,,STK,NSE,,INR,,,,1,,4,DATA
124,ESABINDIA,ESABINDIA,,STK,NSE,,INR,,,,1,,4,DATA
125,EDELWEISS,EDELWEISS,,STK,NSE,,INR,,,,1,,4,DATA
126,EICHERMOT,EICHERMOT,,STK,NSE,,INR,,,,1,,4,DATA
127,ELECTCAST,ELECTCAST,,STK,NSE,,INR,,,,1,,4,DATA
128,ELGIEQUIP,ELGIEQUIP,,STK,NSE,,INR,,,,1,,4,DATA
129,EMAMILTD,EMAMILTD,,STK,NSE,,INR,,,,1,,4,DATA
130,ENGINERSI,ENGINERSIN,,STK,NSE,,INR,,,,1,,4,DATA
131,ENIL,ENIL,,STK,NSE,,INR,,,,1,,4,DATA
132,EROSMEDIA,EROSMEDIA,,STK,NSE,,INR,,,,1,,4,DATA
133,ESCORTS,ESCORTS,,STK,NSE,,INR,,,,1,,4,DATA
134,ESSDEE,ESSDEE,,STK,NSE,,INR,,,,1,,4,DATA
135,ESSELPACK,ESSELPACK,,STK,NSE,,INR,,,,1,,4,DATA
136,EXIDEIND,EXIDEIND,,STK,NSE,,INR,,,,1,,4,DATA
137,FDC,FDC,,STK,NSE,,INR,,,,1,,4,DATA
138,FAGBEARIN,FAGBEARING,,STK,NSE,,INR,,,,1,,4,DATA
139,FEDERALBN,FEDERALBNK,,STK,NSE,,INR,,,,1,,4,DATA
140,FMGOETZE,FMGOETZE,,STK,NSE,,INR,,,,1,,4,DATA
141,FINANTECH,FINANTECH,,STK,NSE,,INR,,,,1,,4,DATA
142,FINCABLES,FINCABLES,,STK,NSE,,INR,,,,1,,4,DATA
143,FINPIPE,FINPIPE,,STK,NSE,,INR,,,,1,,4,DATA
144,FSL,FSL,,STK,NSE,,INR,,,,1,,4,DATA
145,FLEXITUFF,FLEXITUFF,,STK,NSE,,INR,,,,1,,4,DATA
146,FORTIS,FORTIS,,STK,NSE,,INR,,,,1,,4,DATA
147,FCEL,FCEL,,STK,NSE,,INR,,,,1,,4,DATA
148,FRL,FRL,,STK,NSE,,INR,,,,1,,4,DATA
149,GAIL,GAIL,,STK,NSE,,INR,,,,1,,4,DATA
150,GHCL,GHCL,,STK,NSE,,INR,,,,1,,4,DATA
151,GMRINFRA,GMRINFRA,,STK,NSE,,INR,,,,1,,4,DATA
152,GTLINFRA,GTLINFRA,,STK,NSE,,INR,,,,1,,4,DATA
153,GVKPIL,GVKPIL,,STK,NSE,,INR,,,,1,,4,DATA
154,GABRIEL,GABRIEL,,STK,NSE,,INR,,,,1,,4,DATA
155,GAMMONIND,GAMMONIND,,STK,NSE,,INR,,,,1,,4,DATA
156,GAMMNINFR,GAMMNINFRA,,STK,NSE,,INR,,,,1,,4,DATA
157,GDL,GDL,,STK,NSE,,INR,,,,1,,4,DATA
158,GATI,GATI,,STK,NSE,,INR,,,,1,,4,DATA
159,GEOJITBNP,GEOJITBNPP,,STK,NSE,,INR,,,,1,,4,DATA
160,GEOMETRIC,GEOMETRIC,,STK,NSE,,INR,,,,1,,4,DATA
161,GILLETTE,GILLETTE,,STK,NSE,,INR,,,,1,,4,DATA
162,GITANJALI,GITANJALI,,STK,NSE,,INR,,,,1,,4,DATA
