serialno,symbol,servicename,type,exchange,primaryexchange,currency,expiry,option,right,minsize,barsstarttime,streamingpriority,strategy
309,BERGEPAIN,BERGEPAINT,STK,NSE,,INR,,,,1,,4,ADR:CNX500
310,BECREL,BECREL,STK,NSE,,INR,,,,1,,100,
311,BFINVEST,BFINVEST,STK,NSE,,INR,,,,1,,100,
312,BFUTILITI,BFUTILITIE,STK,NSE,,INR,,,,1,,4,ADR:CNX500
313,BGRENERGY,BGRENERGY,STK,NSE,,INR,,,,1,,4,ADR:CNX500
314,TGBHOTELS,TGBHOTELS,STK,NSE,,INR,,,,1,,100,
315,BHAGYNAGA,BHAGYNAGAR,STK,NSE,,INR,,,,1,,100,
316,BEPL,BEPL,STK,NSE,,INR,,,,1,,100,
317,BBL,BBL,STK,NSE,,INR,,,,1,,100,
318,BEL,BEL,STK,NSE,,INR,,,,1,,4,ADR:CNX500
319,BHARATFOR,BHARATFORG,STK,NSE,,INR,,,,1,09:15:00?15:30:00?Asia/Kolkata,1,ADR:CNX500:IDT
320,BHARATGEA,BHARATGEAR,STK,NSE,,INR,,,,1,,100,
321,BHEL,BHEL,STK,NSE,,INR,,,,1,09:15:00?15:30:00?Asia/Kolkata,1,ADR:CNX500:NIFTY:IDT
322,BPCL,BPCL,STK,NSE,,INR,,,,1,09:15:00?15:30:00?Asia/Kolkata,1,ADR:CNX500:NIFTY:IDT
323,BHARATRAS,BHARATRAS,STK,NSE,,INR,,,,1,,100,
324,BHARTISHI,BHARTISHIP,STK,NSE,,INR,,,,1,,100,
325,BGLOBAL,BGLOBAL,STK,NSE,,INR,,,,1,,100,
326,BHARTIART,BHARTIARTL,STK,NSE,,INR,,,,1,09:15:00?15:30:00?Asia/Kolkata,1,ADR:CNX500:NIFTY:IDT
327,INFRATEL,INFRATEL,STK,NSE,,INR,,,,1,,4,ADR:CNX500
328,BIL,BIL,STK,NSE,,INR,,,,1,,100,
329,BHUSANSTL,BHUSANSTL,STK,NSE,,INR,,,,1,,4,ADR:CNX500
330,BILENERGY,BILENERGY,STK,NSE,,INR,,,,1,,100,
331,BILPOWER,BILPOWER,STK,NSE,,INR,,,,1,,100,
332,BIMETAL,BIMETAL,STK,NSE,,INR,,,,1,,100,
333,BINANIIND,BINANIIND,STK,NSE,,INR,,,,1,,100,
334,BIOCON,BIOCON,STK,NSE,,INR,,,,1,09:15:00?15:30:00?Asia/Kolkata,1,ADR:CNX500:IDT
335,BIRLACORP,BIRLACORPN,STK,NSE,,INR,,,,1,,4,ADR:CNX500
336,BIRLACOT,BIRLACOT,STK,NSE,,INR,,,,1,,100,
337,BIRLAERIC,BIRLAERIC,STK,NSE,,INR,,,,1,,100,
338,BSLGOLDET,BSLGOLDETF,STK,NSE,,INR,,,,1,,100,
339,BSLNIFTY,BSLNIFTY,STK,NSE,,INR,,,,1,,100,
340,BLKASHYAP,BLKASHYAP,STK,NSE,,INR,,,,1,,100,
341,BLBLIMITE,BLBLIMITED,STK,NSE,,INR,,,,1,,100,
342,BLISSGVS,BLISSGVS,STK,NSE,,INR,,,,1,,100,
343,BLUECHIP,BLUECHIP,STK,NSE,,INR,,,,1,,100,
344,BLUECOAST,BLUECOAST,STK,NSE,,INR,,,,1,,100,
345,BLUEDART,BLUEDART,STK,NSE,,INR,,,,1,,4,ADR:CNX500
346,BLUESTINF,BLUESTINFO,STK,NSE,,INR,,,,1,,100,
347,BLUESTARC,BLUESTARCO,STK,NSE,,INR,,,,1,,4,ADR:CNX500
348,BOC,LINDEINDIA,STK,NSE,,INR,,,,1,,4,ADR:CNX500
349,BODALCHEM,BODALCHEM,STK,NSE,,INR,,,,1,,100,
350,BODHTREE,BODHTREE,STK,NSE,,INR,,,,1,,100,
351,BBTC,BBTC,STK,NSE,,INR,,,,1,,4,ADR:CNX500
352,BOMDYEING,BOMDYEING,STK,NSE,,INR,,,,1,,4,ADR:CNX500
353,BRFL,BRFL,STK,NSE,,INR,,,,1,,100,
354,BOSCHLTD,BOSCHLTD,STK,NSE,,INR,,,,1,,4,ADR:CNX500
355,BPL,BPL,STK,NSE,,INR,,,,1,,100,
356,BRANDHOUS,BRANDHOUSE,STK,NSE,,INR,,,,1,,100,
357,BRIGADE,BRIGADE,STK,NSE,,INR,,,,1,,4,ADR:CNX500
358,BRITANNIA,BRITANNIA,STK,NSE,,INR,,,,1,,4,ADR:CNX500
359,BROADCAST,BROADCAST,STK,NSE,,INR,,,,1,,100,
360,BROOKS,BROOKS,STK,NSE,,INR,,,,1,,100,
361,BSLIMITED,BSLIMITED,STK,NSE,,INR,,,,1,,100,
362,BSELINFRA,BSELINFRA,STK,NSE,,INR,,,,1,,100,
363,BSL,BSL,STK,NSE,,INR,,,,1,,100,
364,BURNPUR,BURNPUR,STK,NSE,,INR,,,,1,,100,
365,BUTTERFLY,BUTTERFLY,STK,NSE,,INR,,,,1,,100,
366,CMAHENDRA,CMAHENDRA,STK,NSE,,INR,,,,1,,100,
