serialno,symbol,servicename,type,exchange,primaryexchange,currency,expiry,option,right,contractID,additionalInput,longvolume,shortvolume,aggression,minsize,barsstarttime,trailstop,preopen,streamingpriority,strategy
50,AZO,AZO,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,48.05,N,49,ADR
51,AVB,AVB,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,49.05,N,50,ADR
52,AVY,AVY,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,50.05,N,51,ADR
53,AVP,AVP,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,51.05,N,52,ADR
54,BHI,BHI,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,52.05,N,53,ADR
55,BLL,BLL,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,53.05,N,54,ADR
56,BAC,BAC,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,54.05,N,55,ADR
57,BK,BK,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,55.05,N,56,ADR
58,BCR,BCR,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,56.05,N,57,ADR
59,BAX,BAX,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,57.05,N,58,ADR
60,BBT,BBT,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,58.05,N,59,ADR
61,BEAM,BEAM,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,59.05,N,60,ADR
62,BDX,BDX,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,60.05,N,61,ADR
63,BBBY,BBBY,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,61.05,N,62,ADR
64,BMS,BMS,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,62.05,N,63,ADR
65,BBY,BBY,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,63.05,N,64,ADR
66,BIIB,BIIB,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,64.05,N,65,ADR
67,BLK,BLK,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,65.05,N,66,ADR
68,HRB,HRB,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,66.05,N,67,ADR
69,BA,BA,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,67.05,N,68,ADR
70,BWA,BWA,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,68.05,N,69,ADR
71,BXP,BXP,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,69.05,N,70,ADR
72,BSX,BSX,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,70.05,N,71,ADR
73,BMY,BMY,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,71.05,N,72,ADR
74,BRCM,BRCM,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,72.05,N,73,ADR
75,CHRW,CHRW,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,73.05,N,74,ADR
76,CA,CA,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,74.05,N,75,ADR
77,CVC,CVC,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,75.05,N,76,ADR
78,COG,COG,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,76.05,N,77,ADR
79,CAM,CAM,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,77.05,N,78,ADR
80,CPB,CPB,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,78.05,N,79,ADR
81,COF,COF,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,79.05,N,80,ADR
82,CAH,CAH,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,80.05,N,81,ADR
83,CFN,CFN,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,81.05,N,82,ADR
84,KMX,KMX,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,82.05,N,83,ADR
85,CCL,CCL,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,83.05,N,84,ADR
86,CAT,CAT,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,84.05,N,85,ADR
87,CBG,CBG,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,85.05,N,86,ADR
88,CBS,CBS,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,86.05,N,87,ADR
89,CELG,CELG,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,87.05,N,88,ADR
90,CNP,CNP,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,88.05,N,89,ADR
91,CTL,CTL,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,89.05,N,90,ADR
92,CERN,CERN,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,90.05,N,91,ADR
93,CF,CF,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,91.05,N,92,ADR
94,SCHW,SCHW,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,92.05,N,93,ADR
95,CHK,CHK,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,93.05,N,94,ADR
96,CVX,CVX,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,94.05,N,95,ADR
97,CMG,CMG,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,95.05,N,96,ADR
98,CB,CB,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,96.05,N,97,ADR
99,CI,CI,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,97.05,N,98,ADR
100,CINF,CINF,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,98.05,N,99,ADR
101,CTAS,CTAS,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,99.05,N,100,ADR
102,CSCO,CSCO,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,100.05,N,101,ADR
103,C,C,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,101.05,N,102,ADR
104,CTXS,CTXS,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,102.05,N,103,ADR
105,CLF,CLF,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,103.05,N,104,ADR
106,CLX,CLX,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,104.05,N,105,ADR
107,CME,CME,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,105.05,N,106,ADR
108,CMS,CMS,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,106.05,N,107,ADR
109,COH,COH,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,107.05,N,108,ADR
110,KO,KO,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,108.05,N,109,ADR
111,CCE,CCE,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,109.05,N,110,ADR
112,CTSH,CTSH,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,110.05,N,111,ADR
113,CL,CL,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,111.05,N,112,ADR
114,CMCSA,CMCSA,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,112.05,N,113,ADR
115,CMA,CMA,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,113.05,N,114,ADR
116,CSC,CSC,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,114.05,N,115,ADR
117,CAG,CAG,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,115.05,N,116,ADR
118,COP,COP,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,116.05,N,117,ADR
119,CNX,CNX,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,117.05,N,118,ADR
120,ED,ED,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,118.05,N,119,ADR
121,STZ,STZ,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,119.05,N,120,ADR
122,GLW,GLW,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,120.05,N,121,ADR
123,COST,COST,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,121.05,N,122,ADR
124,COV,COV,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,122.05,N,123,ADR
125,CCI,CCI,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,123.05,N,124,ADR
126,CSX,CSX,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,124.05,N,125,ADR
127,CMI,CMI,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,125.05,N,126,ADR
128,CVS,CVS,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,126.05,N,127,ADR
129,DHI,DHI,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,127.05,N,128,ADR
130,DHR,DHR,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,128.05,N,129,ADR
131,DRI,DRI,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,129.05,N,130,ADR
132,DVA,DVA,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,130.05,N,131,ADR
133,DE,DE,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,131.05,N,132,ADR
134,DLPH,DLPH,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,132.05,N,133,ADR
135,DAL,DAL,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,133.05,N,134,ADR
136,DNR,DNR,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,134.05,N,135,ADR
137,XRAY,XRAY,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,135.05,N,136,ADR
138,DVN,DVN,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,136.05,N,137,ADR
139,DO,DO,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,137.05,N,138,ADR
140,DTV,DTV,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,138.05,N,139,ADR
141,DFS,DFS,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,139.05,N,140,ADR
142,DISCA,DISCA,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,140.05,N,141,ADR
143,DG,DG,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,141.05,N,142,ADR
144,DLTR,DLTR,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,142.05,N,143,ADR
145,D,D,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,143.05,N,144,ADR
146,DOV,DOV,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,144.05,N,145,ADR
147,DOW,DOW,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,145.05,N,146,ADR
148,DPS,DPS,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,146.05,N,147,ADR
149,DTE,DTE,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,147.05,N,148,ADR
150,DD,DD,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,148.05,N,149,ADR
151,DUK,DUK,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,149.05,N,150,ADR
152,DNB,DNB,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,150.05,N,151,ADR
153,ETFC,ETFC,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,151.05,N,152,ADR
154,EMN,EMN,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,152.05,N,153,ADR
155,ETN,ETN,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,153.05,N,154,ADR
156,EBAY,EBAY,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,154.05,N,155,ADR
157,ECL,ECL,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,155.05,N,156,ADR
158,EIX,EIX,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,156.05,N,157,ADR
159,EW,EW,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,157.05,N,158,ADR
160,EA,EA,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,158.05,N,159,ADR
161,EMC,EMC,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,159.05,N,160,ADR
162,EMR,EMR,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,160.05,N,161,ADR
163,ESV,ESV,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,161.05,N,162,ADR
164,ETR,ETR,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,162.05,N,163,ADR
165,EOG,EOG,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,163.05,N,164,ADR
166,EQT,EQT,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,164.05,N,165,ADR
167,EFX,EFX,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,165.05,N,166,ADR
168,EQR,EQR,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,166.05,N,167,ADR
169,EL,EL,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,167.05,N,168,ADR
170,EXC,EXC,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,168.05,N,169,ADR
171,EXPE,EXPE,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,169.05,N,170,ADR
172,EXPD,EXPD,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,170.05,N,171,ADR
173,ESRX,ESRX,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,171.05,N,172,ADR
174,XOM,XOM,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,172.05,N,173,ADR
175,FFIV,FFIV,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,173.05,N,174,ADR
176,FB,FB,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,174.05,N,175,ADR
177,FDO,FDO,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,175.05,N,176,ADR
178,FAST,FAST,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,176.05,N,177,ADR
179,FDX,FDX,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,177.05,N,178,ADR
180,FIS,FIS,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,178.05,N,179,ADR
181,FITB,FITB,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,179.05,N,180,ADR
182,FSLR,FSLR,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,180.05,N,181,ADR
183,FE,FE,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,181.05,N,182,ADR
184,FISV,FISV,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,182.05,N,183,ADR
185,FLIR,FLIR,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,183.05,N,184,ADR
186,FLS,FLS,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,184.05,N,185,ADR
187,FLR,FLR,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,185.05,N,186,ADR
188,FMC,FMC,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,186.05,N,187,ADR
189,FTI,FTI,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,187.05,N,188,ADR
190,F,F,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,188.05,N,189,ADR
191,FRX,FRX,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,189.05,N,190,ADR
192,FOSL,FOSL,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,190.05,N,191,ADR
193,BEN,BEN,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,191.05,N,192,ADR
194,FCX,FCX,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,192.05,N,193,ADR
195,FTR,FTR,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,193.05,N,194,ADR
196,GME,GME,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,194.05,N,195,ADR
197,GCI,GCI,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,195.05,N,196,ADR
198,GPS,GPS,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,196.05,N,197,ADR
199,GRMN,GRMN,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,197.05,N,198,ADR
200,GD,GD,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,198.05,N,199,ADR
201,GE,GE,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,199.05,N,200,ADR
202,GGP,GGP,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,200.05,N,201,ADR
203,GIS,GIS,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,201.05,N,202,ADR
204,GM,GM,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,202.05,N,203,ADR
205,GPC,GPC,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,203.05,N,204,ADR
206,GNW,GNW,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,204.05,N,205,ADR
207,GILD,GILD,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,205.05,N,206,ADR
208,GS,GS,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,206.05,N,207,ADR
209,GT,GT,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,207.05,N,208,ADR
210,GOOG,GOOG,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,208.05,N,209,ADR
211,GWW,GWW,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,209.05,N,210,ADR
212,HAL,HAL,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,210.05,N,211,ADR
213,HOG,HOG,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,211.05,N,212,ADR
214,HAR,HAR,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,212.05,N,213,ADR
215,HRS,HRS,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,213.05,N,214,ADR
216,HIG,HIG,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,214.05,N,215,ADR
217,HAS,HAS,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,20:00:00,215.05,N,216,ADR
