serialno,symbol,brokersymbol,displayname,type,exchange,primaryexchange,currency,expiry,option,right,minsize,barsstarttime,streamingpriority,strategy
337,NMDC,NMDC,,STK,NSE,,INR,,,,1,,1,ADR:CNX500:NIFTY:FNO
338,NOCIL,NOCIL,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
339,NOIDATOLL,NOIDATOLL,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
340,NTPC,NTPC,,STK,NSE,,INR,,,,1,,1,ADR:CNX500:NIFTY:FNO
341,OBEROIRLT,OBEROIRLTY,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
342,OFSS,OFSS,,STK,NSE,,INR,,,,1,,2,ADR:CNX500:FNO
343,OIL,OIL,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
344,OMAXE,OMAXE,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
345,ONGC,ONGC,,STK,NSE,,INR,,,,1,,1,ADR:CNX500:NIFTY:FNO
346,OPTOCIRCU,OPTOCIRCUI,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
347,ORCHIDCHE,ORCHIDCHEM,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
348,ORIENTBAN,ORIENTBANK,,STK,NSE,,INR,,,,1,,2,ADR:CNX500:FNO
349,ORISSAMIN,ORISSAMINE,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
350,PAGEIND,PAGEIND,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
351,PARSVNATH,PARSVNATH,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
352,PATELENG,PATELENG,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
353,PEL,PEL,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
354,PENIND,PENIND,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
355,PENINLAND,PENINLAND,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
356,PERSISTEN,PERSISTENT,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
357,PETRONET,PETRONET,,STK,NSE,,INR,,,,1,,2,ADR:CNX500:FNO
358,PFC,PFC,,STK,NSE,,INR,,,,1,,2,ADR:CNX500:FNO
359,PFIZER,PFIZER,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
360,PFS,PFS,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
361,PGHH,PGHH,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
362,PHOENIXLT,PHOENIXLTD,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
363,PIDILITIN,PIDILITIND,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
364,PIIND,PIIND,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
365,PIPAVAVDO,PIPAVAVDOC,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
366,PNB,PNB,,STK,NSE,,INR,,,,1,,1,ADR:CNX500:NIFTY:FNO
367,POWERGRID,POWERGRID,,STK,NSE,,INR,,,,1,,1,ADR:CNX500:NIFTY:FNO
368,PRAJIND,PRAJIND,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
369,PRAKASH,PRAKASH,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
370,PRESTIGE,PRESTIGE,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
371,PRISMCEM,PRISMCEM,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
372,PTC,PTC,,STK,NSE,,INR,,,,1,,2,ADR:CNX500:FNO
373,PUNJLLOYD,PUNJLLOYD,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
374,PURVA,PURVA,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
375,PVR,PVR,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
376,RADICO,RADICO,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
377,RAIN,RAIN,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
378,RAJESHEXP,RAJESHEXPO,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
379,RALLIS,RALLIS,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
380,RAMCOCEM,RAMCOCEM,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
381,RAMCOIND,RAMCOIND,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
382,RASOYPR,RASOYPR,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
383,RATNAMANI,RATNAMANI,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
384,RAYMOND,RAYMOND,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
385,RCF,RCF,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
386,RCOM,RCOM,,STK,NSE,,INR,,,,1,,2,ADR:CNX500:FNO
387,RECLTD,RECLTD,,STK,NSE,,INR,,,,1,,2,ADR:CNX500:FNO
388,REDINGTON,REDINGTON,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
389,RELCAPITA,RELCAPITAL,,STK,NSE,,INR,,,,1,,2,ADR:CNX500:FNO
390,RELIANCE,RELIANCE,,STK,NSE,,INR,,,,1,,1,ADR:CNX500:NIFTY:FNO
391,RELIGARE,RELIGARE,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
392,RELINFRA,RELINFRA,,STK,NSE,,INR,,,,1,,2,ADR:CNX500:FNO
393,RENUKA,RENUKA,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
394,REPCOHOME,REPCOHOME,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
395,RIIL,RIIL,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
396,ROLTA,ROLTA,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
397,RPOWER,RPOWER,,STK,NSE,,INR,,,,1,,2,ADR:CNX500:FNO
398,RTNPOWER,RTNPOWER,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
399,RUCHISOYA,RUCHISOYA,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
400,SADBHAV,SADBHAV,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
401,SAIL,SAIL,,STK,NSE,,INR,,,,1,,2,ADR:CNX500:FNO
402,SANOFI,SANOFI,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
403,SBBJ,SBBJ,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
404,SBIN,SBIN,,STK,NSE,,INR,,,,1,,1,ADR:CNX500:NIFTY:FNO
405,SBT,SBT,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
406,SCI,SCI,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
407,SEINV,SEINV,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
408,SHANTIGEA,SHANTIGEAR,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
409,SHOPERSTO,SHOPERSTOP,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
410,SHREECEM,SHREECEM,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
411,SHRENUJ,SHRENUJ,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
412,SHRIRAMCI,SHRIRAMCIT,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
413,SIEMENS,SIEMENS,,STK,NSE,,INR,,,,1,,2,ADR:CNX500:FNO
414,SIMPLEXIN,SIMPLEXINF,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
415,SINTEX,SINTEX,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
416,SKFINDIA,SKFINDIA,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
417,SKSMICRO,SKSMICRO,,STK,NSE,,INR,,,,1,,2,ADR:CNX500:FNO
418,SOBHA,SOBHA,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
419,SONASTEER,SONASTEER,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
420,SONATSOFT,SONATSOFTW,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
421,SOUTHBANK,SOUTHBANK,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
422,SPARC,SPARC,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
423,SREINFRA,SREINFRA,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
424,SRF,SRF,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
425,SRTRANSFI,SRTRANSFIN,,STK,NSE,,INR,,,,1,,2,ADR:CNX500:FNO
426,STAR,STAR,,STK,NSE,,INR,,,,1,,2,ADR:CNX500:FNO
427,STRTECH,STRTECH,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
428,SUNDARMFI,SUNDARMFIN,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
429,SUNDRMFAS,SUNDRMFAST,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
430,SUNPHARMA,SUNPHARMA,,STK,NSE,,INR,,,,1,,1,ADR:CNX500:NIFTY:FNO
431,SUNTECK,SUNTECK,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
432,SUNTV,SUNTV,,STK,NSE,,INR,,,,1,,2,ADR:CNX500:FNO
433,SUPPETRO,SUPPETRO,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
434,SUPREMEIN,SUPREMEIND,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
435,SUPREMEIN,SUPREMEINF,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
436,SUVEN,SUVEN,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
437,SUZLON,SUZLON,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
438,SWANENERG,SWANENERGY,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
439,SWARAJENG,SWARAJENG,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
440,SYNDIBANK,SYNDIBANK,,STK,NSE,,INR,,,,1,,2,ADR:CNX500:FNO
441,TATACHEM,TATACHEM,,STK,NSE,,INR,,,,1,,2,ADR:CNX500:FNO
442,TCO,TATACOFFEE,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
443,TATACOMM,TATACOMM,,STK,NSE,,INR,,,,1,,2,ADR:CNX500:FNO
444,TATAELXSI,TATAELXSI,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
445,TATAGLOBA,TATAGLOBAL,,STK,NSE,,INR,,,,1,,2,ADR:CNX500:FNO
446,TATAINVES,TATAINVEST,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
447,TATAMOTOR,TATAMOTORS,,STK,NSE,,INR,,,,1,,1,ADR:CNX500:NIFTY:FNO
448,TATAPOWER,TATAPOWER,,STK,NSE,,INR,,,,1,,1,ADR:CNX500:NIFTY:FNO
449,TATASPONG,TATASPONGE,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
450,TATASTEEL,TATASTEEL,,STK,NSE,,INR,,,,1,,1,ADR:CNX500:NIFTY:FNO
451,TBZ,TBZ,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
452,TCS,TCS,,STK,NSE,,INR,,,,1,,1,ADR:CNX500:NIFTY:FNO
453,TDPOWERSY,TDPOWERSYS,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
454,TECHM,TECHM,,STK,NSE,,INR,,,,1,,1,ADR:CNX500:NIFTY:FNO
455,TECHNO,TECHNO,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
456,THERMAX,THERMAX,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
457,THOMASCOO,THOMASCOOK,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
458,TITAN,TITAN,,STK,NSE,,INR,,,,1,,2,ADR:CNX500:FNO
459,TNPL,TNPL,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
460,TORNTPHAR,TORNTPHARM,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
461,TORNTPOWE,TORNTPOWER,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
462,TREEHOUSE,TREEHOUSE,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
463,TRENT,TRENT,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
464,TRIDENT,TRIDENT,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
465,TTKPRESTI,TTKPRESTIG,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
466,TUBEINVES,TUBEINVEST,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
467,TV18BRDCS,TV18BRDCST,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
468,TVSMOTOR,TVSMOTOR,,STK,NSE,,INR,,,,1,,2,ADR:CNX500:FNO
469,TVTODAY,TVTODAY,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
470,UBL,UBL,,STK,NSE,,INR,,,,1,,2,ADR:CNX500:FNO
471,UCOBANK,UCOBANK,,STK,NSE,,INR,,,,1,,2,ADR:CNX500:FNO
472,UFLEX,UFLEX,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
473,ULTRACEMC,ULTRACEMCO,,STK,NSE,,INR,,,,1,,1,ADR:CNX500:NIFTY:FNO
474,UNICHEMLA,UNICHEMLAB,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
475,UNIONBANK,UNIONBANK,,STK,NSE,,INR,,,,1,,2,ADR:CNX500:FNO
476,UNITECH,UNITECH,,STK,NSE,,INR,,,,1,,2,ADR:CNX500:FNO
477,UPL,UPL,,STK,NSE,,INR,,,,1,,2,ADR:CNX500:FNO
478,USHAMART,USHAMART,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
479,UTTAMSTL,UTTAMSTL,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
480,VAIBHAVGB,VAIBHAVGBL,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
481,VAKRANGEE,VAKRANGEE,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
482,VEDL,VEDL,,STK,NSE,,INR,,,,1,,1,ADR:CNX500:NIFTY:FNO
483,VESUVIUS,VESUVIUS,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
484,VIDEOIND,VIDEOIND,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
485,VIJAYABAN,VIJAYABANK,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
486,VINATIORG,VINATIORGA,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
487,VIPIND,VIPIND,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
488,VOLTAS,VOLTAS,,STK,NSE,,INR,,,,1,,2,ADR:CNX500:FNO
489,VSTIND,VSTIND,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
490,VTL,VTL,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
491,WABAG,WABAG,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
492,WABCOINDI,WABCOINDIA,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
493,WELCORP,WELCORP,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
494,WELSPUNIN,WELSPUNIND,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
495,WHEELS,WHEELS,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
496,WHIRLPOOL,WHIRLPOOL,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
497,WIPRO,WIPRO,,STK,NSE,,INR,,,,1,,1,ADR:CNX500:NIFTY:FNO
498,WOCKPHARM,WOCKPHARMA,,STK,NSE,,INR,,,,1,,2,ADR:CNX500:FNO
499,YESBANK,YESBANK,,STK,NSE,,INR,,,,1,,1,ADR:CNX500:NIFTY:FNO
500,ZEEL,ZEEL,,STK,NSE,,INR,,,,1,,1,ADR:CNX500:NIFTY:FNO
501,ZENSARTEC,ZENSARTECH,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
502,ZYDUSWELL,ZYDUSWELL,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
503,ADANIPOWE,ADANIPOWER,,STK,NSE,,INR,,,,1,,4,FNO
504,ARVIND,ARVIND,,STK,NSE,,INR,,,,1,,4,FNO
505,DISHTV,DISHTV,,STK,NSE,,INR,,,,1,,4,FNO
506,TATAMTRDV,TATAMTRDVR,,STK,NSE,,INR,,,,1,,4,FNO
