serialno,symbol,brokersymbol,displayname,type,exchange,primaryexchange,currency,expiry,option,right,minsize,barsstarttime,streamingpriority,strategy
122,DYNAMATEC,DYNAMATECH,,STK,NSE,,INR,,,,2000,,4,ADR:CNX500
123,ECLERX,ECLERX,,STK,NSE,,INR,,,,4000,,4,ADR:CNX500
124,EDELWEISS,EDELWEISS,,STK,NSE,,INR,,,,1000,,4,ADR:CNX500
125,EICHERMOT,EICHERMOT,,STK,NSE,,INR,,,,125,,2,ADR:CNX500:FNO
126,EIDPARRY,EIDPARRY,,STK,NSE,,INR,,,,125,,4,ADR:CNX500
127,EIHOTEL,EIHOTEL,,STK,NSE,,INR,,,,1000,,4,ADR:CNX500
128,ELECTCAST,ELECTCAST,,STK,NSE,,INR,,,,250,,4,ADR:CNX500
129,ELGIEQUIP,ELGIEQUIP,,STK,NSE,,INR,,,,4000,,4,ADR:CNX500
130,EMAMILTD,EMAMILTD,,STK,NSE,,INR,,,,125,,4,ADR:CNX500
131,ENGINERSI,ENGINERSIN,,STK,NSE,,INR,,,,2000,,2,ADR:CNX500:FNO
132,ENIL,ENIL,,STK,NSE,,INR,,,,17000,,4,ADR:CNX500
133,EROSMEDIA,EROSMEDIA,,STK,NSE,,INR,,,,2000,,4,ADR:CNX500
134,ESABINDIA,ESABINDIA,,STK,NSE,,INR,,,,2000,,4,ADR:CNX500
135,ESCORTS,ESCORTS,,STK,NSE,,INR,,,,500,,4,ADR:CNX500
136,ESSDEE,ESSDEE,,STK,NSE,,INR,,,,1000,,4,ADR:CNX500
137,ESSELPACK,ESSELPACK,,STK,NSE,,INR,,,,1000,,4,ADR:CNX500
138,EXIDEIND,EXIDEIND,,STK,NSE,,INR,,,,1,,2,ADR:CNX500:FNO
139,FAGBEARIN,FAGBEARING,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
140,FCEL,FCEL,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
141,FDC,FDC,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
142,FEDERALBN,FEDERALBNK,,STK,NSE,,INR,,,,1,,2,ADR:CNX500:FNO
143,FINANTECH,FINANTECH,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
144,FINCABLES,FINCABLES,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
145,FINPIPE,FINPIPE,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
146,FLEXITUFF,FLEXITUFF,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
147,FMGOETZE,FMGOETZE,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
148,FORTIS,FORTIS,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
149,FRL,FRL,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
150,FSL,FSL,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
151,GABRIEL,GABRIEL,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
152,GAIL,GAIL,,STK,NSE,,INR,,,,1,,1,ADR:CNX500:NIFTY:FNO
153,GAMMNINFR,GAMMNINFRA,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
154,GAMMONIND,GAMMONIND,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
155,GATI,GATI,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
156,GDL,GDL,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
157,GEOJITBNP,GEOJITBNPP,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
158,GEOMETRIC,GEOMETRIC,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
159,GESHIP,GESHIP,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
160,GHCL,GHCL,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
161,GILLETTE,GILLETTE,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
162,GIPCL,GIPCL,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
163,GITANJALI,GITANJALI,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
164,GLAXO,GLAXO,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
165,GLENMARK,GLENMARK,,STK,NSE,,INR,,,,1,,2,ADR:CNX500:FNO
166,GMDCLTD,GMDCLTD,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
167,GMRINFRA,GMRINFRA,,STK,NSE,,INR,,,,1,,2,ADR:CNX500:FNO
168,GNFC,GNFC,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
169,GP,GODFRYPHLP,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
170,GODREJCP,GODREJCP,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
171,GODREJIND,GODREJIND,,STK,NSE,,INR,,,,1,,2,ADR:CNX500:FNO
172,GPL,GODREJPROP,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
173,GPPL,GPPL,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
174,GRAPHITE,GRAPHITE,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
175,GRASIM,GRASIM,,STK,NSE,,INR,,,,1,,1,ADR:CNX500:NIFTY:FNO
176,GREAVESCO,GREAVESCOT,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
177,GRUH,GRUH,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
178,GSFC,GSFC,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
179,GSKCONS,GSKCONS,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
180,GSPL,GSPL,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
181,GTLINFRA,GTLINFRA,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
182,GUJALKALI,GUJALKALI,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
183,GUJFLUORO,GUJFLUORO,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
184,GUJNRECOK,GUJNRECOKE,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
185,GULFOILLU,GULFOILLUB,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
186,GVKPIL,GVKPIL,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
187,HATHWAY,HATHWAY,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
188,HAVELLS,HAVELLS,,STK,NSE,,INR,,,,1,,2,ADR:CNX500:FNO
189,HCC,HCC,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
190,HCL-INSYS,HCL-INSYS,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
191,HCLTECH,HCLTECH,,STK,NSE,,INR,,,,1,,1,ADR:CNX500:NIFTY:FNO
192,HDFC,HDFC,,STK,NSE,,INR,,,,1,,1,ADR:CNX500:NIFTY:FNO
193,HDFCBANK,HDFCBANK,,STK,NSE,,INR,,,,1,,1,ADR:CNX500:NIFTY:FNO
194,HDIL,HDIL,,STK,NSE,,INR,,,,1,,2,ADR:CNX500:FNO
195,HEG,HEG,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
196,HERITGFOO,HERITGFOOD,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
197,HEROMOTOC,HEROMOTOCO,,STK,NSE,,INR,,,,1,,1,ADR:CNX500:NIFTY:FNO
198,HEXAWARE,HEXAWARE,,STK,NSE,,INR,,,,1,,2,ADR:CNX500:FNO
199,HFCL,HFCL,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
200,HIMATSEID,HIMATSEIDE,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
201,HINDALCO,HINDALCO,,STK,NSE,,INR,,,,1,,1,ADR:CNX500:NIFTY:FNO
202,HINDCOPPE,HINDCOPPER,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
203,HINDOILEX,HINDOILEXP,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
204,HINDPETRO,HINDPETRO,,STK,NSE,,INR,,,,1,,2,ADR:CNX500:FNO
205,HINDUNILV,HINDUNILVR,,STK,NSE,,INR,,,,1,,1,ADR:CNX500:NIFTY:FNO
206,HINDZINC,HINDZINC,,STK,NSE,,INR,,,,1,,2,ADR:CNX500:FNO
207,HONAUT,HONAUT,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
208,HOTELEELA,HOTELEELA,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
209,HSIL,HSIL,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
210,HTMEDIA,HTMEDIA,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
211,IBREALEST,IBREALEST,,STK,NSE,,INR,,,,1,,2,ADR:CNX500:FNO
212,IBULHSGFI,IBULHSGFIN,,STK,NSE,,INR,,,,1,,2,ADR:CNX500:FNO
213,IBVENTURE,IBVENTURES,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
214,ICICIBANK,ICICIBANK,,STK,NSE,,INR,,,,1,,1,ADR:CNX500:NIFTY:FNO
215,ICRA,ICRA,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
216,IDBI,IDBI,,STK,NSE,,INR,,,,1,,2,ADR:CNX500:FNO
217,IDEA,IDEA,,STK,NSE,,INR,,,,1,,1,ADR:CNX500:NIFTY:FNO
218,IDFC,IDFC,,STK,NSE,,INR,,,,1,,1,ADR:CNX500:NIFTY:FNO
