serialno,brokersymbol,exchangesymbol,displayname,type,exchange,primaryexchange,currency,expiry,option,right,minsize,barstarttime,streaming,strategy
133,ONGC,ONGC,,STK,NSE,,INR,,,,2000,,2,DATA
134,RCOM,RCOM,,STK,NSE,,INR,,,,8000,,3,DATA
135,RELCAPITA,RELCAPITAL,,STK,NSE,,INR,,,,1500,,3,DATA
136,TATACOMM,TATACOMM,,STK,NSE,,INR,,,,1100,,3,DATA
137,TATAMOTOR,TATAMOTORS,,STK,NSE,,INR,,,,1500,,2,DATA
138,TATAMTRDV,TATAMTRDVR,,STK,NSE,,INR,,,,2100,,3,DATA
139,UCOBANK,UCOBANK,,STK,NSE,,INR,,,,10000,,3,DATA
140,ENGINERSI,ENGINERSIN,,STK,NSE,,INR,,,,2200,,3,DATA
141,VEDL,VEDL,,STK,NSE,,INR,,,,4000,,2,DATA
142,ZEEL,ZEEL,,STK,NSE,,INR,,,,1300,,2,DATA
143,GAIL,GAIL,,STK,NSE,,INR,,,,1400,,2,DATA
144,INBULLS,IBULHSGFIN,,STK,NSE,,INR,,,,800,,3,DATA
145,IFCI,IFCI,,STK,NSE,,INR,,,,20000,,3,DATA
146,CIPLA,CIPLA,,STK,NSE,,INR,,,,800,,2,DATA
147,MARUTI,MARUTI,,STK,NSE,,INR,,,,125,,2,DATA
148,MINDTREE,MINDTREE,,STK,NSE,,INR,,,,400,,3,DATA
149,SAIL,SAIL,,STK,NSE,,INR,,,,9000,,3,DATA
150,TATASTEEL,TATASTEEL,,STK,NSE,,INR,,,,2000,,2,DATA
151,IOB,IOB,,STK,NSE,,INR,,,,14000,,3,DATA
152,WIPRO,WIPRO,,STK,NSE,,INR,,,,1000,,2,DATA
153,AMARAJABA,AMARAJABAT,,STK,NSE,,INR,,,,600,,3,DATA
154,HAVELLS,HAVELLS,,STK,NSE,,INR,,,,2000,,3,DATA
155,LICHSGFIN,LICHSGFIN,,STK,NSE,,INR,,,,1100,,3,DATA
156,TATAPOWER,TATAPOWER,,STK,NSE,,INR,,,,8000,,2,DATA
157,PFC,PFC,,STK,NSE,,INR,,,,2000,,3,DATA
158,RECLTD,RECLTD,,STK,NSE,,INR,,,,2000,,3,DATA
159,TCS,TCS,,STK,NSE,,INR,,,,200,,2,DATA
160,IGL,IGL,,STK,NSE,,INR,,,,1100,,3,DATA
161,STAR,STAR,,STK,NSE,,INR,,,,400,,3,DATA
162,CONCOR,CONCOR,,STK,NSE,,INR,,,,400,,3,DATA
163,GODREJCP,GODREJCP,,STK,NSE,,INR,,,,400,,3,DATA
164,JETAIRWAY,JETAIRWAYS,,STK,NSE,,INR,,,,900,,3,DATA
165,JPASSOCIA,JPASSOCIAT,,STK,NSE,,INR,,,,48000,,3,DATA
166,NHPC,NHPC,,STK,NSE,,INR,,,,27000,,3,DATA
167,SOUTHBANK,SOUTHBANK,,STK,NSE,,INR,,,,22000,,3,DATA
168,TORNTPHAR,TORNTPHARM,,STK,NSE,,INR,,,,400,,3,DATA
169,UNITECH,UNITECH,,STK,NSE,,INR,,,,77000,,3,DATA
170,ACC,ACC,,FUT,NSE,,INR,20160128,,,375,,2,DATA
171,ACC,ACC,,FUT,NSE,,INR,20160225,,,375,,5,DATA
172,ADANIPORT,ADANIPORTS,,FUT,NSE,,INR,20160128,,,1600,,2,DATA
173,ADANIPORT,ADANIPORTS,,FUT,NSE,,INR,20160225,,,1600,,5,DATA
174,AMBUJACEM,AMBUJACEM,,FUT,NSE,,INR,20160128,,,2100,,2,DATA
175,AMBUJACEM,AMBUJACEM,,FUT,NSE,,INR,20160225,,,2100,,5,DATA
176,ASIANPAIN,ASIANPAINT,,FUT,NSE,,INR,20160128,,,600,,2,DATA
177,ASIANPAIN,ASIANPAINT,,FUT,NSE,,INR,20160225,,,600,,5,DATA
178,AXISBANK,AXISBANK,,FUT,NSE,,INR,20160128,,,1000,,2,DATA
179,AXISBANK,AXISBANK,,FUT,NSE,,INR,20160225,,,1000,,5,DATA
180,BAJAJ-AUT,BAJAJ-AUTO,,FUT,NSE,,INR,20160128,,,200,,2,DATA
181,BAJAJ-AUT,BAJAJ-AUTO,,FUT,NSE,,INR,20160225,,,200,,5,DATA
182,BANKBAROD,BANKBARODA,,FUT,NSE,,INR,20160128,,,3100,,2,DATA
183,BANKBAROD,BANKBARODA,,FUT,NSE,,INR,20160225,,,3100,,5,DATA
184,BHEL,BHEL,,FUT,NSE,,INR,20160128,,,2000,,2,DATA
185,BHEL,BHEL,,FUT,NSE,,INR,20160225,,,2000,,5,DATA
186,BPCL,BPCL,,FUT,NSE,,INR,20160128,,,600,,2,DATA
187,BPCL,BPCL,,FUT,NSE,,INR,20160225,,,600,,5,DATA
188,BHARTIART,BHARTIARTL,,FUT,NSE,,INR,20160128,,,1200,,2,DATA
189,BHARTIART,BHARTIARTL,,FUT,NSE,,INR,20160225,,,1200,,5,DATA
190,BOSCHLTD,BOSCHLTD,,FUT,NSE,,INR,20160128,,,25,,2,DATA
191,BOSCHLTD,BOSCHLTD,,FUT,NSE,,INR,20160225,,,25,,5,DATA
192,CAIRN,CAIRN,,FUT,NSE,,INR,20160128,,,3000,,2,DATA
193,CAIRN,CAIRN,,FUT,NSE,,INR,20160225,,,3000,,5,DATA
194,CIPLA,CIPLA,,FUT,NSE,,INR,20160128,,,800,,2,DATA
195,CIPLA,CIPLA,,FUT,NSE,,INR,20160225,,,800,,5,DATA
196,COALINDIA,COALINDIA,,FUT,NSE,,INR,20160128,,,1200,,2,DATA
197,COALINDIA,COALINDIA,,FUT,NSE,,INR,20160225,,,1200,,5,DATA
198,DRREDDY,DRREDDY,,FUT,NSE,,INR,20160128,,,150,,2,DATA
199,DRREDDY,DRREDDY,,FUT,NSE,,INR,20160225,,,150,,5,DATA
200,GAIL,GAIL,,FUT,NSE,,INR,20160128,,,1400,,2,DATA
201,GAIL,GAIL,,FUT,NSE,,INR,20160225,,,1400,,5,DATA
202,GRASIM,GRASIM,,FUT,NSE,,INR,20160128,,,150,,2,DATA
203,GRASIM,GRASIM,,FUT,NSE,,INR,20160225,,,150,,5,DATA
204,HCLTECH,HCLTECH,,FUT,NSE,,INR,20160128,,,600,,2,DATA
205,HCLTECH,HCLTECH,,FUT,NSE,,INR,20160225,,,600,,5,DATA
206,HDFCBANK,HDFCBANK,,FUT,NSE,,INR,20160128,,,500,,2,DATA
207,HDFCBANK,HDFCBANK,,FUT,NSE,,INR,20160225,,,500,,5,DATA
208,HEROMOTOC,HEROMOTOCO,,FUT,NSE,,INR,20160128,,,200,,2,DATA
209,HEROMOTOC,HEROMOTOCO,,FUT,NSE,,INR,20160225,,,200,,5,DATA
210,HINDALCO,HINDALCO,,FUT,NSE,,INR,20160128,,,5000,,2,DATA
211,HINDALCO,HINDALCO,,FUT,NSE,,INR,20160225,,,5000,,5,DATA
212,HINDUNILV,HINDUNILVR,,FUT,NSE,,INR,20160128,,,600,,2,DATA
213,HINDUNILV,HINDUNILVR,,FUT,NSE,,INR,20160225,,,600,,5,DATA
214,HDFC,HDFC,,FUT,NSE,,INR,20160128,,,400,,2,DATA
215,HDFC,HDFC,,FUT,NSE,,INR,20160225,,,400,,5,DATA
216,ITC,ITC,,FUT,NSE,,INR,20160128,,,1600,,2,DATA
217,ITC,ITC,,FUT,NSE,,INR,20160225,,,1600,,5,DATA
218,ICICIBANK,ICICIBANK,,FUT,NSE,,INR,20160128,,,1700,,2,DATA
219,ICICIBANK,ICICIBANK,,FUT,NSE,,INR,20160225,,,1700,,5,DATA
220,IDEA,IDEA,,FUT,NSE,,INR,20160128,,,3000,,2,DATA
221,IDEA,IDEA,,FUT,NSE,,INR,20160225,,,3000,,5,DATA
222,INDUSINDB,INDUSINDBK,,FUT,NSE,,INR,20160128,,,600,,2,DATA
223,INDUSINDB,INDUSINDBK,,FUT,NSE,,INR,20160225,,,600,,5,DATA
224,INFY,INFY,,FUT,NSE,,INR,20160128,,,500,,2,DATA
225,INFY,INFY,,FUT,NSE,,INR,20160225,,,500,,5,DATA
226,KOTAKBANK,KOTAKBANK,,FUT,NSE,,INR,20160128,,,700,,2,DATA
227,KOTAKBANK,KOTAKBANK,,FUT,NSE,,INR,20160225,,,700,,5,DATA
228,LT,LT,,FUT,NSE,,INR,20160128,,,300,,2,DATA
229,LT,LT,,FUT,NSE,,INR,20160225,,,300,,5,DATA
230,LUPIN,LUPIN,,FUT,NSE,,INR,20160128,,,300,,2,DATA
231,LUPIN,LUPIN,,FUT,NSE,,INR,20160225,,,300,,5,DATA
232,MM,M&M,,FUT,NSE,,INR,20160128,,,400,,2,DATA
233,MM,M&M,,FUT,NSE,,INR,20160225,,,400,,5,DATA
234,MARUTI,MARUTI,,FUT,NSE,,INR,20160128,,,125,,2,DATA
235,MARUTI,MARUTI,,FUT,NSE,,INR,20160225,,,125,,5,DATA
236,NTPC,NTPC,,FUT,NSE,,INR,20160128,,,4000,,2,DATA
237,NTPC,NTPC,,FUT,NSE,,INR,20160225,,,4000,,5,DATA
238,ONGC,ONGC,,FUT,NSE,,INR,20160128,,,2000,,2,DATA
239,ONGC,ONGC,,FUT,NSE,,INR,20160225,,,2000,,5,DATA
240,POWERGRID,POWERGRID,,FUT,NSE,,INR,20160128,,,4000,,2,DATA
241,POWERGRID,POWERGRID,,FUT,NSE,,INR,20160225,,,4000,,5,DATA
242,PNB,PNB,,FUT,NSE,,INR,20160128,,,4000,,2,DATA
243,PNB,PNB,,FUT,NSE,,INR,20160225,,,4000,,5,DATA
244,RELIANCE,RELIANCE,,FUT,NSE,,INR,20160128,,,500,,2,DATA
245,RELIANCE,RELIANCE,,FUT,NSE,,INR,20160225,,,500,,5,DATA
246,SBIN,SBIN,,FUT,NSE,,INR,20160128,,,2000,,2,DATA
247,SBIN,SBIN,,FUT,NSE,,INR,20160225,,,2000,,5,DATA
248,SUNPHARMA,SUNPHARMA,,FUT,NSE,,INR,20160128,,,600,,2,DATA
249,SUNPHARMA,SUNPHARMA,,FUT,NSE,,INR,20160225,,,600,,5,DATA
250,TCS,TCS,,FUT,NSE,,INR,20160128,,,200,,2,DATA
251,TCS,TCS,,FUT,NSE,,INR,20160225,,,200,,5,DATA
252,TATAMOTOR,TATAMOTORS,,FUT,NSE,,INR,20160128,,,1500,,2,DATA
253,TATAMOTOR,TATAMOTORS,,FUT,NSE,,INR,20160225,,,1500,,5,DATA
254,TATAPOWER,TATAPOWER,,FUT,NSE,,INR,20160128,,,8000,,2,DATA
255,TATAPOWER,TATAPOWER,,FUT,NSE,,INR,20160225,,,8000,,5,DATA
256,TATASTEEL,TATASTEEL,,FUT,NSE,,INR,20160128,,,2000,,2,DATA
257,TATASTEEL,TATASTEEL,,FUT,NSE,,INR,20160225,,,2000,,5,DATA
258,TECHM,TECHM,,FUT,NSE,,INR,20160128,,,1000,,2,DATA
259,TECHM,TECHM,,FUT,NSE,,INR,20160225,,,1000,,5,DATA
260,ULTRACEMC,ULTRACEMCO,,FUT,NSE,,INR,20160128,,,200,,2,DATA
261,ULTRACEMC,ULTRACEMCO,,FUT,NSE,,INR,20160225,,,200,,5,DATA
262,VEDL,VEDL,,FUT,NSE,,INR,20160128,,,4000,,2,DATA
263,VEDL,VEDL,,FUT,NSE,,INR,20160225,,,4000,,5,DATA
264,WIPRO,WIPRO,,FUT,NSE,,INR,20160128,,,1000,,2,DATA
265,WIPRO,WIPRO,,FUT,NSE,,INR,20160225,,,1000,,5,DATA
266,YESBANK,YESBANK,,FUT,NSE,,INR,20160128,,,700,,2,DATA
267,YESBANK,YESBANK,,FUT,NSE,,INR,20160225,,,700,,5,DATA
268,ZEEL,ZEEL,,FUT,NSE,,INR,20160128,,,1300,,2,DATA
269,ZEEL,ZEEL,,FUT,NSE,,INR,20160225,,,1300,,5,DATA
270,3MINDIA,3MINDIA,,STK,NSE,,INR,,,,1,,4,DATA
271,ABB,ABB,,STK,NSE,,INR,,,,1,,4,DATA
272,ABGSHIP,ABGSHIP,,STK,NSE,,INR,,,,1,,4,DATA
273,AIAENG,AIAENG,,STK,NSE,,INR,,,,1,,4,DATA
274,AARTIIND,AARTIIND,,STK,NSE,,INR,,,,1,,4,DATA
275,ABAN,ABAN,,STK,NSE,,INR,,,,1,,4,DATA
276,ADLABS,ADLABS,,STK,NSE,,INR,,,,1,,4,DATA
277,ADVANTA,ADVANTA,,STK,NSE,,INR,,,,1,,4,DATA
278,ATFL,ATFL,,STK,NSE,,INR,,,,1,,4,DATA
279,AKZOINDIA,AKZOINDIA,,STK,NSE,,INR,,,,1,,4,DATA
280,APLLTD,APLLTD,,STK,NSE,,INR,,,,1,,4,DATA
281,ALLCARGO,ALLCARGO,,STK,NSE,,INR,,,,1,,4,DATA
282,ALOKTEXT,ALOKTEXT,,STK,NSE,,INR,,,,1,,4,DATA
283,AIL,AIL,,STK,NSE,,INR,,,,1,,4,DATA
284,ALSTOMTD,ALSTOMT&D,,STK,NSE,,INR,,,,1,,4,DATA
285,AMTEKAUTO,AMTEKAUTO,,STK,NSE,,INR,,,,1,,4,DATA
286,ANANTRAJ,ANANTRAJ,,STK,NSE,,INR,,,,1,,4,DATA
287,APARINDS,APARINDS,,STK,NSE,,INR,,,,1,,4,DATA
288,ASAHIINDI,ASAHIINDIA,,STK,NSE,,INR,,,,1,,4,DATA
289,ASHOKA,ASHOKA,,STK,NSE,,INR,,,,1,,4,DATA
290,ASTRAZEN,ASTRAZEN,,STK,NSE,,INR,,,,1,,4,DATA
291,ASTRAL,ASTRAL,,STK,NSE,,INR,,,,1,,4,DATA
292,ATUL,ATUL,,STK,NSE,,INR,,,,1,,4,DATA
293,AUTOAXLES,AUTOAXLES,,STK,NSE,,INR,,,,1,,4,DATA
294,BASF,BASF,,STK,NSE,,INR,,,,1,,4,DATA
295,BFUTILITI,BFUTILITIE,,STK,NSE,,INR,,,,1,,4,DATA
296,BAJAJCORP,BAJAJCORP,,STK,NSE,,INR,,,,1,,4,DATA
297,BAJAJELEC,BAJAJELEC,,STK,NSE,,INR,,,,1,,4,DATA
298,BAJAJFINS,BAJAJFINSV,,STK,NSE,,INR,,,,1,,4,DATA
299,BAJAJHIND,BAJAJHIND,,STK,NSE,,INR,,,,1,,4,DATA
300,BAJAJHLDN,BAJAJHLDNG,,STK,NSE,,INR,,,,1,,4,DATA
301,BALKRISIN,BALKRISIND,,STK,NSE,,INR,,,,1,,4,DATA
302,BALLARPUR,BALLARPUR,,STK,NSE,,INR,,,,1,,4,DATA
303,BALMLAWRI,BALMLAWRIE,,STK,NSE,,INR,,,,1,,4,DATA
304,BALRAMCHI,BALRAMCHIN,,STK,NSE,,INR,,,,1,,4,DATA
305,BRGR,BERGEPAINT,,STK,NSE,,INR,,,,1,,4,DATA
306,BHUSANSTL,BHUSANSTL,,STK,NSE,,INR,,,,1,,4,DATA
307,BIRLACORP,BIRLACORPN,,STK,NSE,,INR,,,,1,,4,DATA
308,BLUEDART,BLUEDART,,STK,NSE,,INR,,,,1,,4,DATA
309,BLUESTARC,BLUESTARCO,,STK,NSE,,INR,,,,1,,4,DATA
310,BBTC,BBTC,,STK,NSE,,INR,,,,1,,4,DATA
311,BOMDYEING,BOMDYEING,,STK,NSE,,INR,,,,1,,4,DATA
312,BRIGADE,BRIGADE,,STK,NSE,,INR,,,,1,,4,DATA
313,CARERATIN,CARERATING,,STK,NSE,,INR,,,,1,,4,DATA
314,CRISIL,CRISIL,,STK,NSE,,INR,,,,1,,4,DATA
315,CAMLINFIN,CAMLINFINE,,STK,NSE,,INR,,,,1,,4,DATA
316,CANFINHOM,CANFINHOME,,STK,NSE,,INR,,,,1,,4,DATA
317,CAPF,CAPF,,STK,NSE,,INR,,,,1,,4,DATA
318,CARBORUNI,CARBORUNIV,,STK,NSE,,INR,,,,1,,4,DATA
319,CASTEXTEC,CASTEXTECH,,STK,NSE,,INR,,,,1,,4,DATA
320,CENTRALBK,CENTRALBK,,STK,NSE,,INR,,,,1,,4,DATA
321,CENTENKA,CENTENKA,,STK,NSE,,INR,,,,1,,4,DATA
322,CENTURYPL,CENTURYPLY,,STK,NSE,,INR,,,,1,,4,DATA
323,CHAMBLFER,CHAMBLFERT,,STK,NSE,,INR,,,,1,,4,DATA
324,CHENNPETR,CHENNPETRO,,STK,NSE,,INR,,,,1,,4,DATA
325,CHOLAFIN,CHOLAFIN,,STK,NSE,,INR,,,,1,,4,DATA
326,CUB,CUB,,STK,NSE,,INR,,,,1,,4,DATA
327,CLNINDIA,CLNINDIA,,STK,NSE,,INR,,,,1,,4,DATA
328,COROMANDE,COROMANDEL,,STK,NSE,,INR,,,,1,,4,DATA
329,CORPBANK,CORPBANK,,STK,NSE,,INR,,,,1,,4,DATA
330,COXKINGS,COX&KINGS,,STK,NSE,,INR,,,,1,,4,DATA
331,CUMMINSIN,CUMMINSIND,,STK,NSE,,INR,,,,1,,4,DATA
332,CYIENT,CYIENT,,STK,NSE,,INR,,,,1,,4,DATA
333,DBREALTY,DBREALTY,,STK,NSE,,INR,,,,1,,4,DATA
334,DBCORP,DBCORP,,STK,NSE,,INR,,,,1,,4,DATA
