serialno,brokersymbol,exchangesymbol,displayname,type,exchange,primaryexchange,currency,expiry,option,right,minsize,barstarttime,streaming,strategy
1,NIFTY50,NSENIFTY,,FUT,NSE,,INR,20160128,,,25,,1,DATA
2,NIFTY50,NSENIFTY,,FUT,NSE,,INR,20160225,,,25,,1,DATA
3,NIFTY50,NSENIFTY,,IND,NSE,,INR,,,,1,,1,DATA
4,ABIRLANUV,ABIRLANUVO,,STK,NSE,,INR,,,,250,,3,DATA
5,ADANIPOWE,ADANIPOWER,,STK,NSE,,INR,,,,20000,,3,DATA
6,AJP,AJANTPHARM,,STK,NSE,,INR,,,,400,,3,DATA
7,APOLLOTYR,APOLLOTYRE,,STK,NSE,,INR,,,,3000,,3,DATA
8,ASHOKLEY,ASHOKLEY,,STK,NSE,,INR,,,,7000,,3,DATA
9,ASIANPAIN,ASIANPAINT,,STK,NSE,,INR,,,,600,,2,DATA
10,ADANIENT,ADANIENT,,STK,NSE,,INR,,,,6000,,3,DATA
11,AXISBANK,AXISBANK,,STK,NSE,,INR,,,,1000,,2,DATA
12,BAJAJ-AUT,BAJAJ-AUTO,,STK,NSE,,INR,,,,200,,2,DATA
13,ALBK,ALBK,,STK,NSE,,INR,,,,6000,,3,DATA
14,BAJFINANC,BAJFINANCE,,STK,NSE,,INR,,,,125,,3,DATA
15,ARVIND,ARVIND,,STK,NSE,,INR,,,,1700,,3,DATA
16,BANKINDIA,BANKINDIA,,STK,NSE,,INR,,,,3000,,3,DATA
17,BEL,BEL,,STK,NSE,,INR,,,,450,,3,DATA
18,BHARATFOR,BHARATFORG,,STK,NSE,,INR,,,,500,,3,DATA
19,BHARTIART,BHARTIARTL,,STK,NSE,,INR,,,,1200,,2,DATA
20,BOSCHLTD,BOSCHLTD,,STK,NSE,,INR,,,,25,,2,DATA
21,BANKBAROD,BANKBARODA,,STK,NSE,,INR,,,,3100,,2,DATA
22,BATAINDIA,BATAINDIA,,STK,NSE,,INR,,,,1000,,3,DATA
23,BEML,BEML,,STK,NSE,,INR,,,,500,,3,DATA
24,BHEL,BHEL,,STK,NSE,,INR,,,,2000,,2,DATA
25,BRITANNIA,BRITANNIA,,STK,NSE,,INR,,,,200,,3,DATA
26,CADILAHC,CADILAHC,,STK,NSE,,INR,,,,1500,,3,DATA
27,CAIRN,CAIRN,,STK,NSE,,INR,,,,3000,,2,DATA
28,CANBK,CANBK,,STK,NSE,,INR,,,,2000,,3,DATA
29,CASTROLIN,CASTROLIND,,STK,NSE,,INR,,,,1100,,3,DATA
30,CEATLTD,CEATLTD,,STK,NSE,,INR,,,,700,,3,DATA
31,CESC,CESC,,STK,NSE,,INR,,,,1000,,3,DATA
32,CROMPGREA,CROMPGREAV,,STK,NSE,,INR,,,,3000,,3,DATA
33,DIVISLAB,DIVISLAB,,STK,NSE,,INR,,,,600,,3,DATA
34,EICHERMOT,EICHERMOT,,STK,NSE,,INR,,,,25,,3,DATA
35,FEDERALBN,FEDERALBNK,,STK,NSE,,INR,,,,8000,,3,DATA
36,GODREJIND,GODREJIND,,STK,NSE,,INR,,,,1300,,3,DATA
37,HCLTECH,HCLTECH,,STK,NSE,,INR,,,,600,,2,DATA
38,HDFC,HDFC,,STK,NSE,,INR,,,,400,,2,DATA
39,HDFCBANK,HDFCBANK,,STK,NSE,,INR,,,,500,,2,DATA
40,HINDALCO,HINDALCO,,STK,NSE,,INR,,,,5000,,2,DATA
41,HINDPETRO,HINDPETRO,,STK,NSE,,INR,,,,600,,3,DATA
42,HINDZINC,HINDZINC,,STK,NSE,,INR,,,,3200,,3,DATA
43,IBREALEST,IBREALEST,,STK,NSE,,INR,,,,9000,,3,DATA
44,ICICIBANK,ICICIBANK,,STK,NSE,,INR,,,,1700,,2,DATA
45,IDBI,IDBI,,STK,NSE,,INR,,,,8000,,3,DATA
46,IRB,IRB,,STK,NSE,,INR,,,,2100,,3,DATA
47,JSWSTEEL,JSWSTEEL,,STK,NSE,,INR,,,,600,,3,DATA
48,JUBLFOOD,JUBLFOOD,,STK,NSE,,INR,,,,300,,3,DATA
49,CENTURYTE,CENTURYTEX,,STK,NSE,,INR,,,,800,,3,DATA
50,COLPAL,COLPAL,,STK,NSE,,INR,,,,500,,3,DATA
51,KOTAKBANK,KOTAKBANK,,STK,NSE,,INR,,,,700,,2,DATA
52,DHFL,DHFL,,STK,NSE,,INR,,,,2200,,3,DATA
53,KTKBANK,KTKBANK,,STK,NSE,,INR,,,,4000,,3,DATA
54,LTFH,L&TFH,,STK,NSE,,INR,,,,8000,,3,DATA
55,LUPIN,LUPIN,,STK,NSE,,INR,,,,300,,2,DATA
56,MM,M&M,,STK,NSE,,INR,,,,400,,2,DATA
57,MARICO,MARICO,,STK,NSE,,INR,,,,2600,,3,DATA
58,MOTHERSUM,MOTHERSUMI,,STK,NSE,,INR,,,,1500,,3,DATA
59,MRF,MRF,,STK,NSE,,INR,,,,15,,3,DATA
60,DRREDDY,DRREDDY,,STK,NSE,,INR,,,,150,,2,DATA
61,EXIDEIND,EXIDEIND,,STK,NSE,,INR,,,,3400,,3,DATA
62,GLENMARK,GLENMARK,,STK,NSE,,INR,,,,500,,3,DATA
63,GRASIM,GRASIM,,STK,NSE,,INR,,,,150,,2,DATA
64,HDIL,HDIL,,STK,NSE,,INR,,,,6000,,3,DATA
65,HEROMOTOC,HEROMOTOCO,,STK,NSE,,INR,,,,200,,2,DATA
66,HEXAWARE,HEXAWARE,,STK,NSE,,INR,,,,2000,,3,DATA
67,ORIENTBAN,ORIENTBANK,,STK,NSE,,INR,,,,3000,,3,DATA
68,PAGEIND,PAGEIND,,STK,NSE,,INR,,,,50,,3,DATA
69,IDFC,IDFC,,STK,NSE,,INR,,,,3300,,3,DATA
70,INDIACEM,INDIACEM,,STK,NSE,,INR,,,,6000,,3,DATA
71,IOC,IOC,,STK,NSE,,INR,,,,1200,,3,DATA
72,ITC,ITC,,STK,NSE,,INR,,,,1600,,2,DATA
73,JINDALSTE,JINDALSTEL,,STK,NSE,,INR,,,,7000,,3,DATA
74,PNB,PNB,,STK,NSE,,INR,,,,4000,,2,DATA
75,POWERGRID,POWERGRID,,STK,NSE,,INR,,,,4000,,2,DATA
76,PTC,PTC,,STK,NSE,,INR,,,,8000,,3,DATA
77,RPOWER,RPOWER,,STK,NSE,,INR,,,,12000,,3,DATA
78,JISLJALEQ,JISLJALEQS,,STK,NSE,,INR,,,,8000,,3,DATA
79,SBIN,SBIN,,STK,NSE,,INR,,,,2000,,2,DATA
80,SIEMENS,SIEMENS,,STK,NSE,,INR,,,,400,,3,DATA
81,SKSMICRO,SKSMICRO,,STK,NSE,,INR,,,,1000,,3,DATA
82,SRTRANSFI,SRTRANSFIN,,STK,NSE,,INR,,,,600,,3,DATA
83,JSWENERGY,JSWENERGY,,STK,NSE,,INR,,,,6000,,3,DATA
84,SUNTV,SUNTV,,STK,NSE,,INR,,,,2000,,3,DATA
85,SYNDIBANK,SYNDIBANK,,STK,NSE,,INR,,,,5000,,3,DATA
86,TECHM,TECHM,,STK,NSE,,INR,,,,1000,,2,DATA
87,JUSTDIAL,JUSTDIAL,,STK,NSE,,INR,,,,500,,3,DATA
88,KSCL,KSCL,,STK,NSE,,INR,,,,750,,3,DATA
89,TITAN,TITAN,,STK,NSE,,INR,,,,1500,,3,DATA
90,TVSMOTOR,TVSMOTOR,,STK,NSE,,INR,,,,2000,,3,DATA
91,UBL,UBL,,STK,NSE,,INR,,,,500,,3,DATA
92,LT,LT,,STK,NSE,,INR,,,,300,,2,DATA
93,ULTRACEMC,ULTRACEMCO,,STK,NSE,,INR,,,,200,,2,DATA
94,UNIONBANK,UNIONBANK,,STK,NSE,,INR,,,,3000,,3,DATA
95,UPL,UPL,,STK,NSE,,INR,,,,1000,,3,DATA
96,MCLEODRUS,MCLEODRUSS,,STK,NSE,,INR,,,,2200,,3,DATA
97,VOLTAS,VOLTAS,,STK,NSE,,INR,,,,1600,,3,DATA
98,YESBANK,YESBANK,,STK,NSE,,INR,,,,700,,2,DATA
99,ACC,ACC,,STK,NSE,,INR,,,,375,,2,DATA
100,AMBUJACEM,AMBUJACEM,,STK,NSE,,INR,,,,2100,,2,DATA
101,ANDHRABAN,ANDHRABANK,,STK,NSE,,INR,,,,8000,,3,DATA
102,APOLLOHOS,APOLLOHOSP,,STK,NSE,,INR,,,,400,,3,DATA
103,AUROPHARM,AUROPHARMA,,STK,NSE,,INR,,,,700,,3,DATA
104,COALINDIA,COALINDIA,,STK,NSE,,INR,,,,1200,,2,DATA
105,DABUR,DABUR,,STK,NSE,,INR,,,,2000,,3,DATA
106,DISHTV,DISHTV,,STK,NSE,,INR,,,,5000,,3,DATA
107,GMRINFRA,GMRINFRA,,STK,NSE,,INR,,,,39000,,3,DATA
108,HINDUNILV,HINDUNILVR,,STK,NSE,,INR,,,,600,,2,DATA
109,IDEA,IDEA,,STK,NSE,,INR,,,,3000,,2,DATA
110,INDUSINDB,INDUSINDBK,,STK,NSE,,INR,,,,600,,2,DATA
111,INFRATEL,INFRATEL,,STK,NSE,,INR,,,,1300,,3,DATA
112,INFY,INFY,,STK,NSE,,INR,,,,500,,2,DATA
113,MMFS,M&MFIN,,STK,NSE,,INR,,,,2000,,3,DATA
114,NMDC,NMDC,,STK,NSE,,INR,,,,5000,,3,DATA
115,NTPC,NTPC,,STK,NSE,,INR,,,,4000,,2,DATA
116,OFSS,OFSS,,STK,NSE,,INR,,,,150,,3,DATA
117,PETRONET,PETRONET,,STK,NSE,,INR,,,,3000,,3,DATA
118,PIDILITIN,PIDILITIND,,STK,NSE,,INR,,,,1000,,3,DATA
119,RELIANCE,RELIANCE,,STK,NSE,,INR,,,,500,,2,DATA
120,RELINFRA,RELINFRA,,STK,NSE,,INR,,,,1300,,3,DATA
121,SRF,SRF,,STK,NSE,,INR,,,,400,,3,DATA
122,SUNPHARMA,SUNPHARMA,,STK,NSE,,INR,,,,600,,2,DATA
123,TATACHEM,TATACHEM,,STK,NSE,,INR,,,,1100,,3,DATA
124,TATAGLOBA,TATAGLOBAL,,STK,NSE,,INR,,,,4000,,3,DATA
125,TV18BRDCS,TV18BRDCST,,STK,NSE,,INR,,,,17000,,3,DATA
126,WOCKPHARM,WOCKPHARMA,,STK,NSE,,INR,,,,375,,3,DATA
127,ADANIPORT,ADANIPORTS,,STK,NSE,,INR,,,,1600,,2,DATA
128,BIOCON,BIOCON,,STK,NSE,,INR,,,,1100,,3,DATA
129,BPCL,BPCL,,STK,NSE,,INR,,,,600,,2,DATA
130,DLF,DLF,,STK,NSE,,INR,,,,5000,,3,DATA
131,NCC,NCC,,STK,NSE,,INR,,,,8000,,3,DATA
132,OIL,OIL,,STK,NSE,,INR,,,,1200,,3,DATA
